Total Objects,Memory Usage (MB)
2004,492.7632369995117
2005,494.3246536254883
2006,495.8838806152344
2007,497.6538543701172
2008,499.2103576660156
2009,500.7630310058594
2010,502.32442474365234
2011,503.6402893066406
2012,505.20953369140625
2013,487.30594635009766
2014,488.87862396240234
2015,490.86499786376953
2016,492.18153381347656
2017,493.74227142333984
2018,495.3034439086914
2019,496.86488342285156
2020,498.42440032958984
2021,500.1960983276367
2022,501.7422103881836
2023,503.3034133911133
2024,504.8649444580078
2025,506.1807556152344
2026,507.74987030029297
2027,489.7373809814453
2028,491.30985260009766
2029,493.29605865478516
2030,494.6130828857422
2031,496.1737823486328
2032,498.1891098022461
2033,499.73485565185547
2034,501.2962875366211
2035,502.61248779296875
2036,504.18151092529297
2037,505.7406234741211
2038,507.2960510253906
2039,508.85540771484375
2040,510.62774658203125
2041,492.4930114746094
2042,494.0498580932617
2043,495.60523223876953
2044,497.16455078125
2045,498.92162322998047
2046,500.49854278564453
2047,502.0576858520508
2048,503.60533905029297
2049,504.921630859375
2050,506.48316192626953
2051,508.0498809814453
2052,509.60570526123047
2053,511.16455078125
2054,512.9214935302734
2055,494.8898391723633
2056,496.4481430053711
2057,497.9937286376953
2058,495.55297088623047
2059,497.3258743286133
2060,498.87158203125
2061,500.44620513916016
2062,501.9937515258789
2063,503.3102035522461
2064,504.87355041503906
2065,506.4344787597656
2066,507.9937973022461
2067,509.55297088623047
2068,511.31604766845703
2069,512.8713226318359
2070,514.4482727050781
2071,516.007438659668
2072,517.3472671508789
2073,519.3241271972656
2074,520.8872756958008
2075,522.4325180053711
2076,523.9937210083008
2077,525.3101654052734
2078,495.1684036254883
2079,497.16336822509766
2080,498.48526763916016
2081,499.80517578125
2082,501.80517578125
2083,503.1633758544922
2084,504.48526763916016
2085,506.49903869628906
2086,507.80517578125
2087,509.16333770751953
2088,511.16429901123047
2089,512.485237121582
2090,514.485237121582
2091,515.80517578125
2092,517.1634750366211
2093,519.1634292602539
2094,520.4852447509766
2095,521.80517578125
2096,523.80517578125
2097,525.1634063720703
2098,526.4911117553711
2099,491.5881652832031
2100,492.9052734375
2101,494.2640380859375
2102,496.26402282714844
2103,497.59952545166016
2104,499.5856704711914
2105,500.9052734375
2106,502.2640838623047
2107,504.2700881958008
2108,505.5856018066406
2109,506.9052734375
2110,508.9052734375
2111,510.2640075683594
2112,511.5914764404297
2113,513.5856170654297
2114,514.9052734375
2115,516.2717971801758
2116,518.2640533447266
2117,519.5856094360352
2118,520.9052734375
2119,522.9052734375
2120,524.2777099609375
2121,525.5914764404297
2122,527.5856094360352
2123,528.9052734375
2124,530.9052734375
2125,532.2640914916992
2126,533.5992813110352
2127,535.5856018066406
2128,536.9052734375
2129,538.2718124389648
2130,540.2698822021484
2131,541.5856094360352
2132,542.9052734375
2133,544.9052734375
2134,546.2639999389648
2135,547.5856170654297
2136,549.5856094360352
2137,550.9052734375
2138,552.2776489257812
2139,554.2640914916992
2140,555.5856018066406
2141,557.5856018066406
2142,558.9052734375
2143,560.2639923095703
2144,562.2640151977539
2145,563.5858383178711
2146,564.9052734375
2147,566.9052734375
2148,568.2639923095703
2149,569.5856018066406
2150,571.5995254516602
2151,572.9052734375
2152,574.2639999389648
2153,576.2640075683594
2154,577.5856170654297
2155,579.5856399536133
2156,580.9052734375
2157,582.2642669677734
2158,584.2639770507812
2159,585.5856018066406
2160,586.9052734375
2161,588.9052734375
2162,590.2661514282227
2163,591.5914764404297
2164,593.5856094360352
2165,594.9052734375
2166,596.2640075683594
2167,598.2642669677734
2168,599.5856018066406
2169,600.9052734375
2170,602.9052734375
2171,604.2640380859375
2172,606.2700881958008
2173,607.6112899780273
2174,608.9052734375
2175,610.9052734375
2176,612.2640151977539
2177,613.5914764404297
2178,615.5856323242188
2179,616.9052734375
2180,618.2639846801758
2181,620.2642211914062
2182,621.5856399536133
2183,622.9052734375
