Total Objects,Time (ms)
2004,6
2005,5
2006,8
2007,4
2008,9
2009,4
2010,12
2011,11
2012,7
2013,5
2014,9
2015,12
2016,6
2017,4
2018,10
2019,6
2020,9
2021,6
2022,4
2023,6
2024,5
2025,7
2026,5
2027,8
2028,5
2029,9
2030,4
2031,14
2032,4
2033,7
2034,5
2035,12
2036,9
2037,5
2038,7
2039,4
2040,10
2041,5
2042,7
2043,5
2044,7
2045,5
2046,3
2047,4
2048,8
2049,4
2050,7
2051,4
2052,9
2053,4
2054,5
2055,5
2056,6
2057,5
2058,6
2059,7
2060,4
2061,4
2062,4
2063,5
2064,5
2065,4
2066,6
2067,5
2068,4
2069,4
2070,5
2071,5
2072,5
2073,5
2074,6
2075,4
2076,5
2077,5
2078,4
2079,9
2080,4
2081,10
2082,6
2083,9
2084,4
2085,5
2086,6
2087,4
2088,4
2089,4
2090,6
2091,5
2092,4
2093,4
2094,4
2095,5
2096,4
2097,5
2098,5
2099,14
2100,8
2101,5
2102,8
2103,11
2104,6
2105,8
2106,4
2107,8
2108,4
2109,12
2110,5
2111,10
2112,5
2113,4
2114,5
2115,5
2116,8
2117,4
2118,7
2119,12
2120,5
2121,9
2122,4
2123,4
2124,11
2125,8
2126,6
2127,8
2128,12
2129,6
2130,8
2131,8
2132,17
2133,5
2134,8
2135,12
2136,7
2137,7
2138,9
2139,5
2140,7
2141,5
2142,5
2143,4
2144,9
2145,4
2146,6
2147,5
2148,8
2149,5
2150,8
2151,5
2152,7
2153,5
2154,9
2155,6
2156,8
2157,6
2158,7
2159,5
2160,7
2161,5
2162,9
2163,5
2164,10
2165,5
2166,9
2167,5
2168,7
2169,4
2170,5
2171,5
2172,5
2173,5
2174,5
2175,5
2176,8
2177,7
2178,4
2179,8
2180,5
2181,12
2182,5
2183,8
2184,5
2185,10
2186,5
2187,6
2188,5
2189,7
2190,5
2191,6
2192,5
2193,9
2194,5
2195,12
2196,5
2197,7
2198,4
2199,7
2200,6
2201,8
2202,5
2203,7
2204,7
2205,9
2206,6
2207,5
2208,5
2209,4
2210,9
2211,5
2212,8
2213,4
2214,7
2215,5
2216,9
2217,5
2218,4
2219,5
2220,6
2221,4
2222,6
2223,5
2224,4
2225,5
2226,6
2227,6
2228,4
2229,3
2230,4
2231,4
2232,5
2233,5
2234,4
2235,5
2236,4
2237,5
2238,4
2239,5
2240,5
2241,6
2242,4
2243,4
2244,4
2245,4
2246,4
2247,4
2248,4
2249,4
2250,4
2251,5
2252,4
2253,4
2254,4
2255,4
2256,4
2257,4
2258,4
2259,5
2260,4
2261,4
2262,5
2263,5
2264,4
2265,4
2266,7
2267,7
2268,5
2269,7
2270,4
2271,8
2272,5
2273,7
2274,4
2275,8
2276,4
2277,8
2278,4
2279,4
2280,7
2281,5
2282,9
2283,4
2284,5
2285,4
2286,8
2287,4
2288,8
2289,5
2290,9
2291,5
2292,11
2293,5
2294,8
2295,4
2296,6
2297,4
2298,6
2299,4
2300,7
2301,4
2302,10
2303,3
2304,6
2305,4
2306,7
2307,4
2308,7
2309,5
2310,8
2311,4
2312,7
2313,4
2314,8
2315,5
2316,4
2317,4
2318,4
2319,5
2320,5
2321,5
2322,7
2323,5
2324,6
2325,5
2326,5
2327,5
2328,4
2329,5
2330,5
2331,4
2332,3
2333,4
2334,4
2335,4
2336,5
2337,5
2338,4
2339,5
2340,4
2341,5
2342,5
2343,4
2344,3
2345,4
2346,4
2347,6
2348,4
2349,5
2350,5
2351,5
2352,6
2353,7
2354,5
2355,8
2356,4
2357,7
2358,4
2359,6
2360,5
2361,8
2362,3
2363,6
2364,6
2365,4
2366,8
2367,4
2368,6
2369,6
2370,8
2371,8
2372,11
2373,5
2374,4
2375,6
2376,5
2377,8
2378,4
2379,6
2380,4
2381,4
2382,5
2383,4
2384,6
2385,4
2386,4
2387,5
2388,6
2389,4
2390,6
2391,3
2392,9
2393,5
2394,7
2395,4
2396,8
2397,4
2398,6
2399,4
2400,8
2401,7
2402,10
2403,11
2404,6
2405,4
2406,6
2407,4
2408,5
2409,5
2410,4
2411,4
2412,4
2413,4
2414,4
2415,6
2416,4
2417,3
2418,4
2419,4
2420,4
2421,5
2422,5
2423,5
2424,4
2425,4
2426,4
2427,4
2428,4
2429,5
2430,7
2431,4
2432,5
2433,8
2434,10
2435,3
2436,7
2437,5
2438,8
2439,5
2440,4
2441,9
2442,5
2443,5
2444,4
2445,5
2446,4
2447,4
2448,5
2449,7
2450,4
2451,6
2452,4
2453,6
2454,3
2455,6
2456,4
2457,5
2458,4
2459,7
2460,5
2461,7
2462,4
2463,7
2464,4
2465,8
2466,5
2467,8
2468,4
2469,5
2470,4
2471,8
2472,4
2473,6
2474,4
2475,10
2476,4
2477,5
2478,6
2479,4
2480,9
2481,4
2482,6
2483,4
2484,11
2485,4
2486,5
2487,3
2488,4
2489,3
2490,4
2491,4
2492,5
2493,4
2494,4
2495,5
2496,4
2497,4
2498,6
2499,4
2500,4
2501,4
2502,4
2503,5
2504,4
2505,4
2506,5
2507,4
2508,4
2509,4
2510,5
2511,5
2512,4
2513,4
2514,4
2515,4
2516,9
2517,7
2518,4
2519,6
2520,4
2521,8
2522,4
2523,7
2524,6
2525,8
2526,4
2527,4
2528,5
2529,7
2530,5
2531,4
2532,6
2533,4
2534,7
2535,4
2536,7
2537,4
2538,7
2539,4
2540,6
2541,4
2542,3
2543,11
2544,5
2545,4
2546,8
2547,4
2548,5
2549,4
2550,4
2551,4
2552,4
2553,3
2554,4
2555,5
2556,4
2557,5
2558,5
2559,5
2560,4
2561,4
2562,5
2563,4
2564,5
2565,4
2566,4
2567,7
2568,4
2569,4
2570,5
2571,4
2572,4
2573,5
2574,4
2575,6
2576,4
2577,4
2578,3
2579,6
2580,4
2581,4
2582,4
2583,5
2584,6
2585,4
2586,5
2587,7
2588,5
2589,8
2590,4
2591,7
2592,5
2593,6
2594,4
2595,5
2596,3
2597,9
2598,4
2599,6
2600,5
2601,6
2602,5
2603,7
2604,5
2605,5
2606,4
2607,13
2608,4
2609,4
2610,4
2611,5
2612,4
2613,5
2614,6
