Total Objects,Memory Usage (MB)
4004,825.001953125
4005,827.001953125
4006,829.0156402587891
4007,830.0
4008,832.0
4009,834.0
4010,836.0
4011,837.0156402587891
4012,839.001953125
4013,841.001953125
4014,843.001953125
4015,844.0
4016,846.0
4017,848.0
4018,849.001953125
4019,851.001953125
4020,853.0156402587891
4021,855.001953125
4022,856.0
4023,858.0
4024,860.0
4025,862.0
4026,863.001953125
4027,865.001953125
4028,867.001953125
4029,869.001953125
4030,870.0
4031,872.0
4032,874.0
4033,875.001953125
4034,877.001953125
4035,879.001953125
4036,881.001953125
4037,882.0
4038,884.0
4039,886.0
4040,888.0
4041,889.001953125
4042,891.001953125
4043,893.001953125
4044,894.0
4045,896.0
4046,898.0
4047,900.0
4048,901.001953125
4049,903.001953125
4050,905.001953125
4051,907.001953125
4052,908.0
4053,910.0
4054,912.0
4055,914.0
4056,915.001953125
4057,917.0156402587891
4058,919.001953125
4059,920.0
4060,922.0
4061,924.0
4062,926.0
4063,927.001953125
4064,929.001953125
4065,931.001953125
4066,933.0019683837891
4067,934.0
4068,936.0
4069,938.0
4070,940.0
4071,941.002197265625
4072,943.001953125
4073,945.001953125
4074,946.0
4075,948.0
4076,950.0
4077,952.0
4078,953.001953125
4079,955.001953125
4080,957.0019683837891
4081,959.001953125
4082,960.0
4083,962.0
4084,964.0
4085,966.0
4086,967.001953125
4087,969.001953125
4088,971.0156402587891
4089,972.0
4090,974.0
4091,976.0
4092,978.0
4093,979.0156402587891
4094,981.001953125
4095,983.001953125
4096,985.001953125
4097,986.0
4098,988.0
4099,990.0
4100,991.001953125
4101,993.001953125
4102,995.0156402587891
4103,997.001953125
4104,998.0
4105,1000.0
4106,1002.0
4107,1004.0
4108,1005.001953125
4109,1007.001953125
4110,1009.001953125
4111,1011.001953125
4112,1012.0
4113,1014.0
4114,1016.0
4115,1017.001953125
4116,1019.001953125
4117,1021.001953125
4118,1023.001953125
4119,1024.0
4120,1026.0
4121,1028.0
4122,1030.0
4123,1031.001953125
4124,1033.001953125
4125,1035.001953125
4126,1036.0
4127,1038.0
4128,833.91357421875
4129,835.91357421875
4130,836.91552734375
4131,838.91552734375
4132,840.91552734375
4133,842.91552734375
4134,843.91357421875
4135,845.91357421875
4136,847.91357421875
4137,849.91357421875
4138,850.91552734375
4139,852.91552734375
4140,854.91552734375
4141,855.91357421875
4142,857.91357421875
4143,859.91357421875
4144,861.91357421875
4145,862.91552734375
4146,864.91552734375
4147,866.91552734375
4148,868.91552734375
4149,869.91357421875
4150,871.91357421875
4151,873.91357421875
4152,875.91357421875
4153,876.91552734375
4154,878.9292144775391
4155,880.91552734375
4156,881.91357421875
4157,883.91357421875
4158,885.91357421875
4159,887.91357421875
4160,888.91552734375
4161,890.91552734375
4162,892.91552734375
4163,894.9155426025391
4164,895.91357421875
4165,897.91357421875
4166,899.91357421875
4167,901.91357421875
4168,902.915771484375
4169,904.91552734375
4170,906.91552734375
4171,907.91357421875
4172,909.91357421875
4173,911.91357421875
4174,913.91357421875
4175,914.91552734375
4176,916.91552734375
4177,918.9155426025391
4178,920.91552734375
4179,921.91357421875
4180,923.91357421875
4181,925.91357421875
4182,927.91357421875
4183,928.91552734375
4184,930.91552734375
4185,932.9292144775391
4186,933.91357421875
4187,935.91357421875
4188,937.91357421875
4189,939.91357421875
4190,940.9292144775391
4191,942.91552734375
4192,944.91552734375
4193,946.91552734375
4194,947.91357421875
4195,949.91357421875
4196,951.91357421875
4197,952.91552734375
4198,954.91552734375
4199,956.9292144775391
4200,958.91552734375
4201,959.91357421875
4202,961.91357421875
4203,963.91357421875
4204,965.91357421875
4205,966.91552734375
4206,968.91552734375
4207,970.91552734375
4208,972.91552734375
4209,973.91357421875
4210,975.91357421875
4211,977.91357421875
4212,978.91552734375
4213,980.91552734375
4214,982.91552734375
