Total Objects,Time (ms)
4004,10
4005,9
4006,13
4007,8
4008,8
4009,14
4010,8
4011,9
4012,14
4013,9
4014,8
4015,13
4016,9
4017,8
4018,15
4019,9
4020,9
4021,15
4022,9
4023,8
4024,13
4025,9
4026,9
4027,15
4028,8
4029,8
4030,14
4031,9
4032,9
4033,13
4034,9
4035,9
4036,17
4037,8
4038,8
4039,15
4040,9
4041,8
4042,14
4043,9
4044,11
4045,16
4046,11
4047,11
4048,8
4049,9
4050,14
4051,9
4052,8
4053,13
4054,9
4055,8
4056,13
4057,9
4058,8
4059,14
4060,11
4061,8
4062,15
4063,10
4064,8
4065,15
4066,8
4067,9
4068,24
4069,14
4070,18
4071,15
4072,13
4073,14
4074,13
4075,15
4076,15
4077,13
4078,13
4079,11
4080,13
4081,15
4082,13
4083,12
4084,18
4085,14
4086,13
4087,10
4088,15
4089,9
4090,9
4091,13
4092,9
4093,10
4094,19
4095,23
4096,13
4097,17
4098,23
4099,13
4100,12
4101,14
4102,20
4103,13
4104,21
4105,19
4106,13
4107,16
4108,13
4109,19
4110,11
4111,12
4112,12
4113,13
4114,13
4115,9
4116,14
4117,9
4118,19
4119,8
4120,8
4121,9
4122,15
4123,8
4124,9
4125,12
4126,8
4127,8
4128,19
4129,23
4130,9
4131,8
4132,9
4133,14
4134,9
4135,9
4136,15
4137,8
4138,9
4139,15
4140,8
4141,9
4142,15
4143,12
4144,8
4145,22
4146,8
4147,15
4148,9
4149,8
4150,12
4151,9
4152,8
4153,17
4154,9
4155,8
4156,16
4157,8
4158,9
4159,13
4160,8
4161,9
4162,12
4163,12
4164,8
4165,13
4166,8
4167,7
4168,12
4169,8
4170,9
4171,11
4172,8
4173,8
4174,13
4175,9
4176,9
4177,12
4178,8
4179,9
4180,20
4181,9
4182,10
4183,14
4184,9
4185,12
4186,9
4187,9
4188,9
4189,16
4190,9
4191,9
4192,11
4193,9
4194,8
4195,15
4196,9
4197,10
4198,12
4199,10
4200,9
4201,15
4202,9
4203,8
4204,16
4205,9
4206,10
4207,14
4208,9
4209,8
4210,14
4211,10
4212,8
4213,15
4214,9
4215,13
4216,13
4217,9
4218,9
4219,14
4220,9
4221,11
4222,12
4223,8
4224,19
4225,10
4226,10
4227,10
4228,10
4229,9
4230,9
4231,19
4232,8
4233,11
4234,10
4235,9
4236,10
4237,15
4238,11
4239,12
4240,9
4241,12
4242,9
4243,17
4244,9
4245,8
4246,15
4247,10
4248,9
4249,13
4250,10
4251,22
4252,41
4253,19
4254,21
4255,16
4256,14
4257,16
4258,19
4259,14
4260,15
4261,18
4262,24
4263,15
4264,15
4265,15
4266,15
4267,15
4268,30
4269,14
4270,9
4271,14
4272,9
4273,9
4274,17
4275,10
4276,14
4277,9
4278,9
4279,9
4280,14
4281,9
4282,8
4283,15
4284,9
4285,9
4286,14
4287,9
4288,10
4289,13
4290,9
4291,16
4292,11
4293,10
4294,11
4295,9
4296,10
4297,9
4298,13
4299,8
4300,11
4301,12
4302,9
4303,8
4304,13
4305,9
4306,9
4307,14
4308,9
4309,8
4310,15
4311,9
4312,9
4313,14
4314,8
4315,8
4316,16
4317,9
4318,8
4319,12
4320,9
4321,8
4322,10
4323,8
4324,8
4325,13
4326,9
4327,8
4328,13
4329,8
4330,8
4331,13
4332,9
4333,8
4334,12
4335,11
4336,10
4337,13
4338,9
4339,11
4340,14
4341,8
4342,8
4343,16
4344,9
4345,8
4346,13
4347,9
4348,9
4349,16
4350,8
4351,10
4352,15
4353,8
4354,8
4355,19
4356,9
4357,8
4358,13
4359,9
4360,9
4361,13
4362,10
4363,9
4364,15
4365,8
4366,10
4367,13
4368,8
4369,9
4370,35
4371,9
4372,13
4373,9
4374,9
4375,14
4376,9
4377,8
4378,13
4379,8
4380,8
4381,20
4382,8
4383,10
4384,13
4385,9
4386,14
4387,10
4388,9
4389,15
4390,11
4391,9
4392,12
4393,9
4394,9
4395,13
4396,8
4397,9
4398,13
4399,8
4400,9
4401,20
4402,8
4403,11
4404,14
4405,9
4406,8
4407,13
4408,9
4409,9
4410,17
4411,8
4412,8
4413,17
4414,8
4415,10
4416,13
4417,9
4418,8
4419,15
4420,9
4421,9
4422,14
4423,10
4424,9
4425,15
4426,9
4427,9
4428,15
4429,9
4430,9
4431,16
4432,9
4433,9
4434,13
4435,9
4436,9
4437,14
4438,9
4439,9
4440,14
4441,9
4442,8
4443,12
4444,9
4445,10
4446,13
4447,7
4448,9
4449,14
4450,9
4451,8
4452,13
4453,8
4454,9
4455,15
4456,8
4457,9
4458,14
4459,9
4460,9
4461,15
4462,9
4463,8
4464,15
4465,8
4466,9
4467,15
4468,9
4469,9
4470,13
4471,8
4472,9
4473,18
4474,10
4475,14
4476,15
4477,14
4478,21
4479,10
4480,38
4481,10
4482,10
4483,9
4484,11
4485,15
4486,9
4487,11
4488,27
4489,27
4490,21
4491,20
4492,38
4493,16
4494,23
4495,26
4496,18
4497,29
4498,23
4499,30
4500,22
4501,14
4502,20
4503,12
4504,34
4505,11
4506,17
4507,10
4508,10
4509,19
4510,18
4511,30
4512,21
4513,16
4514,17
4515,18
4516,15
4517,28
4518,33
4519,19
4520,22
4521,39
4522,35
4523,20
4524,66
4525,15
4526,15
4527,33
4528,26
4529,13
4530,22
4531,15
4532,16
4533,15
4534,26
4535,16
4536,18
4537,18
4538,17
4539,15
4540,18
4541,17
4542,23
4543,17
4544,21
4545,17
4546,36
4547,15
4548,17
4549,28
4550,32
4551,19
4552,33
4553,22
4554,16
4555,51
4556,33
4557,14
4558,21
4559,21
4560,26
4561,19
4562,15
4563,9
4564,18
4565,34
4566,19
4567,18
4568,33
4569,14
4570,23
4571,16
4572,24
4573,16
4574,12
4575,35
4576,17
4577,13
4578,23
4579,17
4580,21
4581,15
4582,24
4583,14
4584,15
4585,25
4586,15
4587,16
4588,33
4589,30
4590,13
4591,21
4592,17
4593,32
4594,12
4595,15
4596,20
4597,16
4598,16
4599,22
4600,20
4601,15
4602,22
4603,13
4604,17
4605,14
4606,27
4607,17
4608,17
4609,18
4610,22
4611,16
4612,29
4613,10
4614,16
4615,14
4616,33
4617,17
4618,16
4619,26
4620,14
4621,16
4622,26
4623,16
4624,25
4625,25
4626,14
4627,15
4628,27
4629,23
4630,16
4631,14
4632,9
4633,10
4634,16
4635,9
4636,9
4637,15
4638,9
4639,16
4640,13
4641,12
4642,9
4643,10
4644,15
4645,9
4646,11
4647,15
4648,9
4649,20
4650,12
4651,11
4652,18
4653,10
4654,23
4655,13
4656,17
4657,28
4658,15
4659,16
4660,18
4661,18
4662,17
4663,13
4664,14
4665,19
4666,17
4667,21
4668,15
4669,17
4670,18
4671,28
4672,18
4673,14
4674,32
4675,15
4676,49
4677,18
4678,16
4679,19
4680,27
4681,18
4682,12
4683,14
4684,26
4685,32
4686,14
4687,14
4688,15
4689,26
4690,13
4691,14
4692,14
4693,24
4694,17
4695,9
4696,19
4697,26
4698,14
4699,28
4700,16
4701,32
4702,14
4703,14
4704,26
4705,18
4706,24
4707,23
4708,22
4709,22
4710,37
4711,15
4712,13
4713,17
4714,8
4715,24
4716,24
4717,30
4718,17
4719,21
4720,23
4721,28
4722,10
4723,15
4724,24
4725,15
4726,16
4727,32
4728,15
4729,17
4730,16
4731,19
4732,14
4733,22
4734,13
4735,18
4736,18
4737,22
4738,14
4739,17
4740,24
4741,15
4742,17
4743,31
4744,14
4745,19
4746,23
4747,18
4748,18
4749,23
4750,17
4751,28
4752,15
4753,13
4754,32
4755,14
4756,18
4757,34
4758,25
4759,14
4760,19
4761,17
4762,28
4763,15
4764,82
4765,10
4766,17
4767,17
4768,36
4769,20
4770,14
4771,25
4772,17
4773,19
4774,13
4775,17
4776,13
4777,13
4778,22
4779,10
4780,15
4781,9
4782,12
4783,15
4784,10
4785,13
4786,17
4787,11
4788,17
4789,10
4790,12
4791,18
4792,11
4793,20
4794,10
4795,10
4796,14
4797,11
4798,17
4799,10
4800,8
4801,11
4802,12
4803,9
4804,13
4805,10
4806,9
4807,12
4808,11
4809,9
4810,11
4811,11
4812,9
4813,11
4814,7
4815,11
4816,11
4817,14
4818,13
4819,17
4820,8
4821,10
4822,16
4823,10
4824,17
4825,9
4826,9
4827,16
4828,11
4829,16
4830,10
4831,12
4832,9
4833,9
4834,15
4835,9
4836,11
4837,10
4838,9
4839,11
4840,10
4841,10
4842,15
4843,11
4844,12
4845,11
4846,12
4847,22
4848,11
4849,9
4850,16
4851,9
4852,16
4853,8
4854,9
4855,14
4856,11
4857,14
4858,10
4859,9
4860,8
4861,14
4862,10
4863,11
4864,10
4865,10
4866,14
4867,9
4868,9
4869,13
4870,13
4871,10
4872,16
4873,9
4874,9
4875,13
4876,11
4877,17
4878,11
4879,10
4880,17
4881,12
4882,10
4883,20
4884,9
4885,9
4886,9
4887,18
4888,9
4889,17
4890,12
4891,11
4892,11
4893,11
4894,15
4895,9
4896,8
4897,17
4898,11
4899,12
4900,10
4901,10
4902,14
4903,8
4904,15
4905,13
4906,16
4907,9
4908,10
4909,15
4910,9
4911,12
4912,9
4913,10
4914,14
4915,9
4916,16
4917,18
4918,58
4919,13
4920,15
4921,24
4922,15
4923,16
4924,24
4925,14
4926,18
4927,26
4928,15
4929,22
4930,18
4931,27
4932,14
4933,18
4934,15
4935,24
4936,21
4937,15
4938,10
4939,18
4940,12
4941,14
4942,10
4943,9
4944,13
4945,10
4946,15
4947,10
4948,10
4949,12
4950,9
4951,19
4952,10
4953,12
4954,12
4955,12
4956,16
4957,9
4958,10
4959,20
4960,11
4961,14
4962,9
4963,9
4964,16
4965,11
4966,14
4967,14
4968,9
4969,11
4970,13
4971,9
4972,17
4973,9
4974,10
4975,16
4976,10
4977,13
4978,10
4979,11
4980,10
4981,8
4982,19
4983,9
4984,12
4985,10
4986,9
4987,18
4988,12
4989,19
4990,10
4991,13
4992,9
4993,9
4994,14
4995,9
4996,9
4997,13
4998,11
4999,10
5000,11
5001,10
5002,13
5003,17
