Total Objects,Memory Usage (MB)
3004,673.0478515625
3005,674.0498046875
3006,676.0556793212891
3007,678.0498046875
3008,680.0498046875
3009,681.0478515625
3010,683.0478515625
3011,685.0478515625
3012,686.0498046875
3013,688.0498046875
3014,690.0556793212891
3015,692.0498046875
3016,693.0478515625
3017,695.0478515625
3018,697.0478515625
3019,699.0478515625
3020,700.0556793212891
3021,702.0498046875
3022,704.0498046875
3023,706.0498046875
3024,707.0478515625
3025,709.0478515625
3026,711.0478515625
3027,713.0478515625
3028,714.0498046875
3029,716.0498046875
3030,657.9538726806641
3031,658.9443435668945
3032,660.9443435668945
3033,662.9443435668945
3034,664.9443435668945
3035,665.9462966918945
3036,667.9462966918945
3037,669.9462966918945
3038,671.9462966918945
3039,672.9443435668945
3040,674.9443435668945
3041,676.9443435668945
3042,678.9443435668945
3043,679.9462966918945
3044,681.9521713256836
3045,683.9462966918945
3046,685.9462966918945
3047,686.9443435668945
3048,688.9443435668945
3049,690.9443435668945
3050,692.9443435668945
3051,693.9462966918945
3052,695.9599838256836
3053,697.9462966918945
3054,698.9443435668945
3055,700.9443435668945
3056,702.9443435668945
3057,704.9443435668945
3058,705.9462966918945
3059,707.9462966918945
3060,709.9462966918945
3061,711.9462966918945
3062,712.9443435668945
3063,714.9443435668945
3064,716.9443435668945
3065,718.9443435668945
3066,665.0002517700195
3067,666.99267578125
3068,668.99267578125
3069,670.99267578125
3070,671.99072265625
3071,673.99072265625
3072,675.99072265625
3073,676.99267578125
3074,678.99267578125
3075,680.99267578125
3076,683.0063629150391
3077,683.99072265625
3078,685.99072265625
3079,687.99072265625
3080,689.99072265625
3081,690.99267578125
3082,692.99267578125
3083,694.99267578125
3084,696.99267578125
3085,697.99072265625
3086,699.99072265625
3087,701.99072265625
3088,703.99072265625
3089,704.99267578125
3090,706.99267578125
3091,708.99267578125
3092,710.99267578125
3093,711.99072265625
3094,713.99072265625
3095,715.99072265625
3096,716.99267578125
3097,718.99267578125
3098,720.99267578125
3099,670.7667694091797
3100,671.759765625
3101,673.759765625
3102,675.759765625
3103,677.759765625
3104,678.76171875
3105,680.7675933837891
3106,682.76171875
3107,684.76171875
3108,685.759765625
3109,687.759765625
3110,689.759765625
3111,691.759765625
3112,692.76171875
3113,694.7754058837891
3114,696.76171875
3115,697.759765625
3116,699.759765625
3117,701.759765625
3118,703.759765625
3119,704.76171875
3120,706.76171875
3121,708.76171875
3122,710.76171875
3123,711.759765625
3124,713.759765625
3125,715.759765625
3126,717.759765625
3127,718.76171875
3128,720.7675933837891
3129,722.76171875
3130,675.0070037841797
3131,676.0
3132,678.0
3133,680.0
3134,681.001953125
3135,683.001953125
3136,685.001953125
3137,687.0156402587891
3138,688.0
3139,690.0
3140,692.0
3141,694.0
3142,695.001953125
3143,697.001953125
3144,699.001953125
3145,701.001953125
3146,702.0
3147,704.0
3148,706.0
3149,708.0
3150,709.001953125
3151,711.001953125
3152,713.001953125
3153,715.001953125
3154,716.0
3155,718.0
3156,720.0
3157,721.001953125
3158,723.001953125
3159,680.3665161132812
3160,682.3615264892578
3161,683.3597106933594
3162,685.3596649169922
3163,687.361328125
3164,689.361328125
3165,690.3614730834961
3166,692.3673400878906
3167,694.361701965332
3168,696.3614654541016
3169,697.3596496582031
3170,699.3605117797852
3171,701.3598327636719
3172,703.3597564697266
3173,704.361701965332
3174,706.3751525878906
3175,708.3615798950195
3176,709.3597946166992
3177,711.3596496582031
3178,713.361328125
3179,715.361328125
3180,716.3615798950195
3181,718.3614730834961
3182,720.3615264892578
3183,722.3614730834961
3184,723.361328125
3185,725.361328125
3186,685.6968688964844
3187,687.6820755004883
3188,688.7580261230469
3189,690.7638931274414
3190,692.7601852416992
3191,694.7580490112305
3192,695.6762237548828
3193,697.6762313842773
3194,699.676383972168
3195,701.6762237548828
3196,702.7580261230469
3197,704.7580261230469
3198,706.7580184936523
3199,707.837890625
3200,709.6762313842773
3201,711.6918106079102
3202,713.6918182373047
3203,715.6762390136719
3204,716.7580261230469
3205,718.7580184936523
3206,720.7580261230469
3207,721.837890625
3208,723.6823043823242
3209,725.6918029785156
3210,688.9340362548828
3211,690.9151306152344
3212,692.0829238891602
3213,694.0771484375
3214,696.0770797729492
3215,697.2371139526367
3216,698.9150543212891
3217,700.9306488037109
3218,702.9150390625
3219,704.0770416259766
3220,706.0770568847656
3221,708.0770568847656
3222,709.2371139526367
3223,711.2371139526367
3224,712.9150543212891
3225,714.9306640625
3226,716.9150695800781
3227,718.0770492553711
3228,720.0772857666016
3229,722.0770721435547
3230,723.2371139526367
3231,724.9172058105469
3232,726.9209213256836
3233,691.8769302368164
3234,693.0338668823242
3235,695.0397109985352
3236,697.0338439941406
3237,699.0340728759766
3238,700.19384765625
3239,701.8718872070312
3240,703.8719024658203
3241,705.8718795776367
3242,707.0338516235352
3243,709.0397033691406
3244,711.0476379394531
3245,712.19384765625
3246,713.877799987793
3247,715.8718719482422
3248,717.8855590820312
3249,719.8718872070312
3250,721.0338363647461
3251,723.0338363647461
3252,725.0338363647461
3253,726.19384765625
3254,695.8466796875
3255,697.2910308837891
3256,699.285400390625
3257,701.2852020263672
3258,702.5727691650391
3259,704.5669097900391
3260,706.567008972168
3261,707.8466796875
3262,709.8466796875
3263,711.3007736206055
3264,713.2852249145508
3265,715.2851867675781
3266,716.5669021606445
3267,718.580696105957
3268,719.8466796875
3269,721.8466796875
3270,723.2853927612305
3271,725.2988510131836
3272,727.2852172851562
3273,728.5669021606445
3274,698.0480270385742
3275,700.0430068969727
3276,701.32275390625
3277,703.32275390625
3278,704.7612991333008
3279,706.7612762451172
3280,708.7612609863281
3281,710.0566482543945
3282,712.043083190918
3283,714.0429763793945
3284,715.32275390625
3285,717.32275390625
3286,718.7827224731445
3287,720.7612380981445
3288,722.043083190918
3289,724.0566864013672
3290,726.043083190918
3291,727.32275390625
3292,729.32275390625
3293,730.7612380981445
3294,701.7653656005859
3295,703.7664260864258
3296,705.0741653442383
3297,707.0760498046875
3298,709.0743408203125
3299,710.3937835693359
3300,712.3937835693359
3301,713.7526245117188
3302,715.7525405883789
3303,717.7525863647461
3304,719.0877914428711
3305,721.07421875
3306,722.3937835693359
3307,724.3937835693359
3308,726.3937835693359
3309,727.7739639282227
3310,729.7525100708008
3311,731.7525863647461
3312,733.0741729736328
3313,704.237548828125
3314,705.55224609375
3315,707.55224609375
3316,709.55224609375
3317,710.927360534668
3318,712.9245452880859
3319,714.2325897216797
3320,716.2327270507812
3321,718.2324981689453
3322,719.55224609375
3323,721.55224609375
3324,722.9108200073242
3325,724.9127426147461
3326,726.9110641479492
3327,728.2324981689453
3328,730.2325134277344
3329,731.55224609375
3330,733.55224609375
3331,735.55224609375
3332,736.9400939941406
3333,707.9160995483398
3334,709.2325744628906
3335,711.2326278686523
3336,713.2325820922852
3337,714.55224609375
3338,716.55224609375
3339,718.55224609375
3340,719.9247207641602
3341,721.9111175537109
3342,723.2325744628906
3343,725.2325744628906
3344,727.2325744628906
3345,728.55224609375
3346,730.55224609375
3347,731.9188690185547
3348,733.9109725952148
3349,735.9109802246094
3350,737.2462768554688
3351,739.2384414672852
3352,740.55224609375
3353,711.5166015625
3354,713.5166015625
3355,714.8889541625977
3356,716.8753433227539
3357,718.1969146728516
3358,720.1969146728516
3359,722.1969451904297
3360,723.5166015625
3361,725.5166015625
3362,726.8752975463867
3363,728.8755035400391
3364,730.8753280639648
3365,732.1969146728516
3366,734.1969146728516
3367,736.1969757080078
3368,737.5166015625
3369,739.5166015625
3370,740.8811492919922
3371,742.8753051757812
3372,713.977165222168
3373,715.3069915771484
3374,717.2935180664062
3375,718.61279296875
3376,720.61279296875
3377,722.61279296875
3378,723.9934387207031
3379,725.9722366333008
3380,727.2991561889648
3381,729.2933959960938
3382,731.2932815551758
3383,732.61279296875
3384,734.61279296875
3385,735.973762512207
3386,737.9719161987305
3387,739.9718475341797
3388,741.2933120727539
3389,743.2991485595703
3390,744.61279296875
3391,746.61279296875
3392,717.50146484375
3393,718.8760986328125
3394,720.860481262207
3395,722.1819458007812
3396,724.1819458007812
3397,726.1819763183594
3398,727.50146484375
3399,729.50146484375
3400,730.8605117797852
3401,732.8605422973633
3402,734.8605346679688
3403,736.1956253051758
3404,738.181999206543
3405,739.50146484375
3406,741.50146484375
3407,743.50146484375
3408,744.881965637207
3409,746.8605880737305
3410,748.8605270385742
3411,719.0562362670898
3412,721.0511016845703
3413,722.3705139160156
3414,724.3705139160156
3415,726.3705139160156
3416,727.7436294555664
3417,729.7299423217773
3418,731.0510711669922
3419,733.0515518188477
3420,735.0510787963867
3421,736.3705139160156
3422,738.3705139160156
3423,739.7375106811523
3424,741.7299652099609
3425,743.7296752929688
3426,745.051139831543
3427,747.0569381713867
3428,748.3705139160156
3429,750.3705139160156
3430,752.3705139160156
3431,722.8505020141602
3432,724.8298263549805
3433,726.1513137817383
3434,728.1513671875
3435,730.1513442993164
3436,731.4708557128906
3437,733.4708557128906
3438,734.8298263549805
3439,736.8298492431641
3440,738.8320236206055
3441,740.1649932861328
3442,742.1515502929688
3443,743.4708557128906
3444,745.4708557128906
3445,747.4708557128906
3446,748.8513107299805
3447,750.8299331665039
3448,752.8298721313477
3449,754.1514282226562
3450,725.2915725708008
3451,726.60595703125
3452,728.60595703125
3453,730.60595703125
3454,731.9790420532227
3455,733.9652709960938
3456,735.2865142822266
3457,737.2865295410156
3458,739.2864990234375
3459,740.60595703125
3460,742.60595703125
3461,743.972900390625
3462,745.9651489257812
3463,747.965087890625
3464,749.2864990234375
3465,751.292366027832
3466,752.60595703125
3467,754.60595703125
3468,756.60595703125
3469,757.9807281494141
3470,728.9806671142578
3471,730.2961807250977
3472,732.2961730957031
3473,734.2963638305664
3474,735.61572265625
3475,737.61572265625
3476,738.9746704101562
3477,740.9747467041016
3478,742.9747009277344
3479,744.2961730957031
3480,746.2962875366211
3481,748.2961807250977
3482,749.61572265625
3483,751.61572265625
3484,752.9961624145508
3485,754.9747848510742
3486,756.974723815918
3487,758.2962875366211
3488,760.2962265014648
3489,761.61572265625
3490,732.6142578125
3491,734.6142578125
3492,735.9948120117188
3493,737.9736099243164
3494,739.3005752563477
3495,741.2948150634766
3496,743.2947006225586
3497,744.6142578125
3498,746.6142578125
3499,747.9751358032227
3500,749.9732894897461
3501,751.9732208251953
3502,753.2947006225586
3503,755.3005676269531
3504,756.6142578125
3505,758.6142578125
3506,760.6142578125
3507,761.9888381958008
3508,763.9732208251953
3509,734.3135223388672
3510,736.3093872070312
3511,738.3084487915039
3512,739.6279296875
3513,741.6279296875
3514,742.986946105957
3515,744.9869842529297
3516,746.9891586303711
3517,748.3220977783203
3518,750.3085327148438
3519,751.6279296875
3520,753.6279296875
3521,755.6279296875
3522,757.0084457397461
3523,758.9870681762695
3524,760.9870300292969
3525,762.3084411621094
3526,764.3084411621094
3527,765.6279296875
3528,767.6279296875
3529,738.4441223144531
3530,739.8247222900391
3531,741.8035202026367
3532,743.1304626464844
3533,745.1247024536133
3534,747.1245880126953
3535,748.4441223144531
3536,750.4441223144531
3537,751.8050537109375
3538,753.8031997680664
3539,755.8031311035156
3540,757.1382904052734
3541,759.1304550170898
3542,760.4441223144531
3543,762.4441223144531
3544,764.4441223144531
3545,765.8187561035156
3546,767.803092956543
3547,769.1245880126953
3548,739.9345932006836
3549,741.9295196533203
3550,743.2490158081055
3551,745.2490158081055
3552,746.6080474853516
3553,748.6080856323242
3554,750.6102752685547
3555,751.9431915283203
3556,753.9296264648438
3557,755.2490158081055
3558,757.2490158081055
3559,759.2490158081055
3560,760.6295471191406
3561,762.6081695556641
3562,764.6081237792969
3563,765.9295349121094
3564,767.9295349121094
3565,769.2490158081055
3566,771.2490158081055
3567,773.2490158081055
3568,743.7479934692383
3569,745.7290267944336
3570,747.0504837036133
3571,749.0505142211914
3572,751.0504837036133
3573,752.3700256347656
3574,754.3700256347656
3575,755.7367858886719
3576,757.7290267944336
3577,759.7290191650391
3578,761.0504837036133
3579,763.0563507080078
3580,764.3700256347656
3581,766.3700256347656
3582,768.3700256347656
3583,769.7446517944336
3584,771.7368240356445
3585,773.0504913330078
3586,775.0506744384766
3587,746.1076507568359
3588,747.421875
3589,749.421875
3590,750.7808837890625
3591,752.7810211181641
3592,754.7809524536133
3593,756.1160354614258
3594,758.1024703979492
3595,759.421875
3596,761.421875
3597,763.421875
3598,764.802375793457
3599,766.7811279296875
3600,768.7809524536133
3601,770.1023788452148
3602,772.1023559570312
3603,773.421875
3604,775.421875
3605,777.421875
3606,778.7948379516602
3607,749.7786178588867
3608,751.1008453369141
3609,753.095085144043
3610,755.094970703125
3611,756.41455078125
3612,758.41455078125
3613,759.775390625
3614,761.7734680175781
3615,763.7734985351562
3616,765.0950164794922
3617,767.1008377075195
3618,768.41455078125
3619,770.41455078125
3620,772.41455078125
3621,773.7890853881836
3622,775.78125
3623,777.0949783325195
3624,779.0950012207031
3625,781.09521484375
3626,782.41455078125
3627,753.37939453125
3628,754.7383422851562
3629,756.7393417358398
3630,758.7393646240234
3631,760.0735244750977
3632,762.0599594116211
3633,755.37939453125
3634,757.37939453125
3635,759.37939453125
3636,760.7598342895508
3637,762.7385864257812
3638,764.738410949707
3639,766.0599594116211
3640,768.0598526000977
3641,769.37939453125
3642,771.37939453125
3643,773.37939453125
3644,774.7522964477539
3645,776.7384719848633
3646,778.0598526000977
3647,780.0598754882812
3648,782.0598526000977
3649,783.37939453125
3650,785.37939453125
3651,786.7384338378906
3652,788.7383728027344
3653,790.7383728027344
3654,792.0599136352539
3655,794.0657119750977
3656,795.37939453125
3657,797.37939453125
3658,750.2252655029297
3659,751.21826171875
3660,753.21826171875
3661,755.21826171875
3662,756.22021484375
3663,758.22021484375
3664,760.22021484375
3665,762.22021484375
3666,763.21826171875
3667,765.21826171875
3668,767.21826171875
3669,769.21826171875
3670,770.22021484375
3671,772.22021484375
3672,774.22021484375
3673,776.22021484375
3674,777.21826171875
3675,779.21826171875
3676,781.21826171875
3677,782.22021484375
3678,784.22021484375
3679,786.22021484375
3680,788.2339019775391
3681,789.21826171875
3682,791.21826171875
3683,793.21826171875
3684,795.21826171875
3685,796.22021484375
3686,798.22021484375
3687,800.22021484375
3688,802.22021484375
3689,803.21826171875
3690,738.72412109375
3691,740.72412109375
3692,742.72412109375
3693,743.72607421875
3694,745.7397613525391
3695,747.72607421875
3696,749.72607421875
3697,750.72412109375
3698,752.72412109375
3699,754.72412109375
3700,755.72607421875
3701,757.72607421875
3702,759.72607421875
3703,761.72607421875
3704,762.72412109375
3705,764.72412109375
3706,766.72412109375
3707,768.72412109375
3708,769.72607421875
3709,771.72607421875
3710,773.72607421875
3711,775.72607421875
3712,776.72412109375
3713,778.72412109375
3714,780.72412109375
3715,781.72607421875
3716,783.72607421875
3717,785.72607421875
3718,787.7397613525391
3719,788.72412109375
3720,790.72412109375
3721,792.72412109375
3722,794.72412109375
3723,795.72607421875
3724,797.72607421875
3725,799.72607421875
3726,801.72607421875
3727,802.72412109375
3728,804.72412109375
3729,806.72412109375
3730,808.72412109375
3731,809.72607421875
3732,811.7397613525391
3733,813.72607421875
3734,815.72607421875
3735,816.72412109375
3736,818.72412109375
3737,820.72412109375
3738,821.72607421875
3739,823.72607421875
3740,825.72607421875
3741,827.72607421875
3742,828.72412109375
3743,830.72412109375
3744,832.72412109375
3745,834.72412109375
3746,835.72607421875
3747,837.72607421875
3748,839.72607421875
3749,841.72607421875
3750,842.72412109375
3751,844.72412109375
3752,846.72412109375
3753,847.72607421875
3754,849.72607421875
3755,851.72607421875
3756,853.7397613525391
3757,854.72412109375
3758,856.72412109375
3759,858.72412109375
3760,860.72412109375
3761,861.72607421875
3762,863.72607421875
3763,865.72607421875
3764,867.72607421875
3765,868.72412109375
3766,870.72412109375
3767,872.72412109375
3768,874.72412109375
3769,875.72607421875
3770,877.7397613525391
3771,879.72607421875
3772,881.72607421875
3773,882.72412109375
3774,884.72412109375
3775,886.72412109375
3776,887.72607421875
3777,889.72607421875
3778,891.72607421875
3779,893.72607421875
3780,894.72412109375
3781,896.72412109375
3782,898.72412109375
3783,900.72412109375
3784,901.72607421875
3785,903.72607421875
3786,905.72607421875
3787,907.72607421875
3788,908.72412109375
3789,910.72412109375
3790,912.72412109375
3791,913.72607421875
3792,915.72607421875
3793,917.7397613525391
3794,919.72607421875
3795,920.72412109375
3796,922.72412109375
3797,924.72412109375
3798,926.72412109375
3799,927.72607421875
3800,929.72607421875
3801,931.72607421875
3802,933.72607421875
3803,934.72412109375
3804,936.72412109375
3805,938.72412109375
3806,939.72607421875
3807,941.72607421875
3808,943.72607421875
3809,945.7397613525391
3810,946.72412109375
3811,948.72412109375
3812,950.72412109375
3813,952.72412109375
3814,953.72607421875
3815,955.72607421875
3816,957.72607421875
3817,959.72607421875
3818,960.72412109375
3819,962.72412109375
3820,964.72412109375
3821,966.72412109375
3822,967.7260894775391
3823,969.7397613525391
3824,971.72607421875
3825,973.72607421875
3826,974.72412109375
3827,976.72412109375
3828,978.72412109375
3829,979.72607421875
3830,981.72607421875
3831,983.72607421875
3832,985.72607421875
3833,986.72412109375
3834,988.72412109375
3835,990.72412109375
3836,992.72412109375
3837,993.72607421875
3838,995.72607421875
3839,997.72607421875
3840,999.72607421875
3841,1000.72412109375
3842,1002.72412109375
3843,1004.72412109375
