Total Objects,Time (ms)
3004,13
3005,8
3006,8
3007,13
3008,10
3009,8
3010,15
3011,9
3012,12
3013,14
3014,9
3015,13
3016,9
3017,10
3018,14
3019,10
3020,11
3021,11
3022,10
3023,9
3024,14
3025,9
3026,11
3027,11
3028,10
3029,11
3030,24
3031,9
3032,10
3033,9
3034,9
3035,12
3036,9
3037,9
3038,9
3039,12
3040,9
3041,13
3042,9
3043,9
3044,17
3045,17
3046,12
3047,22
3048,11
3049,14
3050,13
3051,20
3052,14
3053,17
3054,10
3055,10
3056,11
3057,10
3058,17
3059,10
3060,12
3061,13
3062,16
3063,20
3064,13
3065,10
3066,23
3067,17
3068,15
3069,11
3070,10
3071,22
3072,10
3073,14
3074,11
3075,10
3076,24
3077,13
3078,17
3079,12
3080,11
3081,12
3082,28
3083,36
3084,26
3085,11
3086,13
3087,34
3088,12
3089,21
3090,11
3091,19
3092,11
3093,19
3094,12
3095,22
3096,15
3097,23
3098,12
3099,28
3100,10
3101,13
3102,16
3103,11
3104,11
3105,22
3106,11
3107,23
3108,10
3109,20
3110,13
3111,20
3112,10
3113,21
3114,11
3115,10
3116,21
3117,9
3118,20
3119,12
3120,18
3121,10
3122,20
3123,12
3124,12
3125,11
3126,20
3127,12
3128,19
3129,10
3130,29
3131,13
3132,12
3133,11
3134,21
3135,11
3136,18
3137,10
3138,21
3139,11
3140,18
3141,10
3142,21
3143,10
3144,14
3145,8
3146,16
3147,10
3148,16
3149,10
3150,10
3151,11
3152,11
3153,10
3154,15
3155,9
3156,10
3157,9
3158,13
3159,17
3160,18
3161,15
3162,19
3163,22
3164,9
3165,17
3166,13
3167,21
3168,15
3169,22
3170,11
3171,19
3172,10
3173,15
3174,10
3175,10
3176,20
3177,10
3178,16
3179,19
3180,11
3181,18
3182,10
3183,21
3184,10
3185,13
3186,12
3187,16
3188,13
3189,19
3190,11
3191,16
3192,9
3193,12
3194,18
3195,14
3196,19
3197,12
3198,23
3199,13
3200,49
3201,12
3202,11
3203,17
3204,11
3205,12
3206,29
3207,11
3208,8
3209,18
3210,18
3211,19
3212,9
3213,10
3214,14
3215,10
3216,14
3217,9
3218,9
3219,15
3220,9
3221,21
3222,11
3223,14
3224,10
3225,10
