Total Objects,Time (ms)
5004,12
5005,13
5006,11
5007,13
5008,17
5009,9
5010,11
5011,16
5012,10
5013,18
5014,10
5015,10
5016,13
5017,13
5018,19
5019,11
5020,14
5021,9
5022,10
5023,16
5024,10
5025,10
5026,19
5027,9
5028,10
5029,19
5030,11
5031,11
5032,12
5033,11
5034,10
5035,19
5036,11
5037,15
5038,11
5039,13
5040,19
5041,10
5042,15
5043,12
5044,12
5045,20
5046,14
5047,11
5048,14
5049,15
5050,19
5051,12
5052,44
5053,12
5054,11
5055,14
5056,9
5057,11
5058,16
5059,13
5060,11
5061,17
5062,9
5063,11
5064,18
5065,10
5066,17
5067,10
5068,11
5069,14
5070,10
5071,20
5072,9
5073,14
5074,13
5075,16
5076,25
5077,10
5078,11
5079,13
5080,8
5081,14
5082,10
5083,12
5084,10
5085,14
5086,12
5087,16
5088,9
5089,14
5090,10
5091,11
5092,20
5093,11
5094,9
5095,19
5096,13
5097,19
5098,13
5099,18
5100,11
5101,14
5102,16
5103,21
5104,20
5105,12
5106,9
5107,13
5108,11
5109,17
5110,26
5111,18
5112,12
5113,13
5114,10
5115,11
5116,16
5117,9
5118,10
5119,12
5120,12
5121,9
5122,15
5123,13
5124,10
5125,16
5126,13
5127,12
5128,11
5129,11
5130,17
5131,10
5132,11
5133,17
5134,10
5135,11
5136,14
5137,10
5138,10
5139,15
5140,10
5141,11
5142,15
5143,11
5144,11
5145,19
5146,11
5147,23
5148,11
5149,12
5150,18
5151,10
5152,11
5153,13
5154,12
5155,19
5156,10
5157,13
5158,10
5159,14
5160,28
5161,14
5162,30
5163,21
5164,15
5165,36
5166,32
5167,12
5168,19
5169,26
5170,18
5171,18
5172,26
5173,18
5174,13
5175,40
5176,26
5177,15
5178,15
5179,14
5180,23
5181,12
5182,10
5183,18
5184,13
5185,15
5186,12
5187,12
5188,16
5189,11
5190,14
5191,11
5192,11
5193,15
5194,12
5195,14
5196,11
5197,12
5198,15
5199,11
5200,13
5201,12
5202,9
5203,19
5204,9
5205,13
5206,14
5207,15
5208,16
5209,9
5210,9
5211,15
5212,11
5213,28
5214,22
5215,19
5216,37
5217,27
5218,17
5219,17
5220,18
5221,26
5222,13
5223,19
5224,17
5225,26
5226,16
5227,19
5228,32
5229,20
5230,15
5231,27
5232,17
5233,17
5234,20
5235,35
5236,21
5237,18
5238,27
5239,16
5240,17
5241,25
5242,19
5243,14
5244,18
5245,25
5246,17
5247,18
5248,27
5249,10
5250,18
5251,10
5252,11
5253,11
5254,15
5255,24
5256,10
5257,25
5258,10
5259,14
5260,11
5261,10
5262,19
5263,10
5264,13
5265,17
5266,10
5267,15
5268,11
5269,9
5270,18
5271,13
5272,20
5273,13
5274,10
5275,10
5276,11
5277,17
5278,11
5279,18
5280,13
5281,13
5282,22
5283,11
5284,10
5285,14
5286,11
5287,17
5288,13
5289,20
5290,10
5291,11
5292,13
5293,16
5294,16
5295,11
5296,16
5297,10
5298,22
5299,12
5300,10
5301,13
5302,11
5303,11
5304,16
5305,13
5306,10
5307,16
5308,22
5309,11
5310,18
5311,11
5312,9
5313,13
5314,10
5315,15
5316,10
5317,24
5318,11
5319,17
5320,13
5321,24
5322,12
5323,24
5324,9
5325,17
5326,9
5327,16
5328,11
5329,13
5330,18
5331,11
5332,17
5333,11
5334,14
5335,11
5336,11
5337,14
5338,10
5339,9
5340,17
5341,10
5342,10
5343,19
5344,9
5345,10
5346,14
5347,10
5348,13
5349,12
5350,23
5351,18
5352,10
5353,19
5354,11
5355,10
5356,16
5357,10
5358,22
5359,14
5360,13
5361,14
5362,12
5363,16
5364,14
5365,29
5366,9
5367,13
5368,12
5369,10
5370,20
5371,9
5372,11
5373,12
5374,10
5375,18
5376,10
5377,11
5378,11
5379,21
5380,21
5381,15
5382,25
5383,17
5384,23
5385,30
5386,16
5387,25
5388,28
5389,17
5390,19
5391,27
5392,17
5393,24
5394,16
5395,10
5396,22
5397,10
5398,20
5399,9
5400,13
5401,13
5402,9
5403,17
5404,9
5405,10
5406,15
5407,11
5408,20
5409,13
5410,11
5411,17
5412,11
5413,10
5414,16
5415,11
5416,11
5417,10
5418,12
5419,9
5420,18
5421,11
5422,15
5423,11
5424,28
5425,11
5426,13
5427,19
5428,11
5429,10
5430,17
5431,12
5432,18
5433,10
5434,19
5435,9
5436,11
5437,14
5438,11
5439,14
5440,12
5441,11
5442,14
5443,12
5444,15
5445,11
5446,9
5447,16
5448,11
5449,16
5450,11
5451,9
5452,18
5453,11
5454,18
5455,13
5456,19
5457,14
5458,21
5459,10
5460,20
5461,10
5462,26
5463,11
5464,24
5465,11
5466,24
5467,11
5468,18
5469,11
5470,9
5471,18
5472,12
5473,18
5474,11
5475,21
5476,11
5477,19
5478,11
5479,12
5480,17
5481,10
5482,12
5483,14
5484,10
5485,21
5486,14
5487,11
5488,22
5489,9
5490,17
5491,13
5492,23
5493,10
5494,11
5495,16
5496,13
5497,13
5498,21
5499,11
5500,10
5501,13
5502,12
5503,17
5504,11
5505,10
5506,16
5507,9
5508,17
5509,11
5510,12
5511,11
5512,12
5513,14
5514,10
5515,8
5516,17
5517,15
5518,9
5519,32
5520,11
5521,15
5522,11
5523,13
5524,23
5525,12
5526,13
5527,11
5528,13
5529,17
5530,11
5531,15
5532,16
5533,12
5534,19
5535,12
5536,9
5537,13
5538,12
5539,16
5540,10
5541,13
5542,10
5543,9
5544,17
5545,10
5546,11
5547,16
5548,12
5549,10
5550,33
5551,10
5552,13
5553,20
5554,9
5555,21
5556,14
5557,10
5558,13
5559,13
5560,22
5561,11
5562,15
5563,9
5564,13
5565,17
5566,17
5567,21
5568,14
5569,16
5570,10
5571,17
5572,10
5573,15
5574,15
5575,10
5576,21
5577,12
5578,12
5579,23
5580,13
5581,26
5582,14
5583,20
5584,11
5585,12
5586,13
5587,10
5588,16
5589,14
5590,12
5591,12
5592,11
5593,18
5594,10
5595,9
5596,14
5597,15
5598,20
5599,12
5600,21
5601,12
5602,14
5603,14
5604,11
5605,17
5606,9
5607,19
5608,15
5609,10
5610,27
5611,10
5612,31
5613,9
5614,22
5615,12
5616,12
5617,15
5618,13
5619,12
5620,22
5621,10
5622,15
5623,11
5624,33
5625,25
5626,35
5627,20
5628,32
5629,25
5630,40
5631,19
5632,23
5633,29
5634,32
5635,29
5636,28
5637,50
5638,33
5639,14
5640,45
5641,19
5642,13
5643,27
5644,11
5645,16
5646,20
5647,15
5648,17
5649,42
5650,25
5651,33
5652,42
5653,34
5654,22
5655,36
5656,22
5657,19
5658,37
5659,45
5660,35
5661,36
5662,31
5663,31
5664,40
5665,26
5666,23
5667,13
5668,11
5669,17
5670,9
5671,8
5672,15
5673,12
5674,17
5675,20
5676,11
5677,18
5678,16
5679,10
5680,18
5681,14
5682,11
5683,10
5684,12
5685,16
5686,13
5687,12
5688,14
5689,11
5690,21
5691,11
5692,14
5693,14
5694,14
5695,20
5696,12
5697,9
5698,14
5699,15
5700,24
5701,16
5702,10
5703,11
5704,27
5705,22
5706,16
5707,11
5708,12
5709,13
5710,13
5711,17
5712,11
5713,19
5714,11
5715,12
5716,15
5717,13
5718,12
5719,20
5720,10
5721,13
5722,15
5723,10
5724,10
5725,20
5726,9
5727,9
5728,11
5729,13
5730,12
5731,18
5732,12
5733,18
5734,14
5735,44
5736,28
5737,11
5738,18
5739,11
5740,19
5741,10
5742,32
5743,22
5744,16
5745,16
5746,12
5747,11
5748,15
5749,18
5750,20
5751,14
5752,23
5753,11
5754,20
5755,10
5756,14
5757,13
5758,11
5759,19
5760,13
5761,17
5762,10
5763,15
5764,12
5765,10
5766,19
5767,21
5768,13
5769,16
5770,12
5771,22
5772,14
5773,18
5774,11
5775,11
5776,12
5777,10
5778,16
5779,11
5780,13
5781,16
5782,11
5783,18
5784,12
5785,16
5786,10
5787,12
5788,17
5789,11
5790,15
5791,12
5792,13
5793,18
5794,11
5795,14
5796,28
5797,19
5798,21
5799,17
5800,9
5801,12
5802,15
5803,11
5804,19
5805,12
5806,19
5807,12
5808,16
5809,16
5810,12
5811,10
5812,20
5813,11
5814,19
5815,11
5816,11
5817,15
5818,9
5819,14
5820,11
5821,14
5822,12
5823,12
5824,20
5825,11
5826,17
5827,11
5828,12
5829,29
5830,12
5831,18
5832,17
5833,15
5834,18
5835,19
5836,11
5837,12
5838,15
5839,11
5840,25
5841,10
5842,20
5843,10
5844,13
5845,13
5846,13
5847,20
5848,12
5849,10
5850,13
5851,14
5852,25
5853,12
5854,17
5855,11
5856,10
5857,22
5858,13
5859,26
5860,29
5861,23
5862,22
5863,29
5864,17
5865,15
5866,23
5867,13
5868,25
5869,27
5870,19
5871,27
5872,22
5873,27
5874,18
5875,27
5876,15
5877,11
5878,17
5879,10
5880,29
5881,17
5882,12
5883,13
5884,23
5885,13
5886,22
5887,10
5888,18
5889,13
5890,21
5891,20
5892,18
5893,11
5894,14
5895,11
5896,12
5897,14
5898,12
5899,12
5900,16
5901,10
5902,9
5903,17
5904,12
5905,17
5906,12
5907,10
5908,17
5909,12
5910,25
5911,11
5912,13
5913,12
5914,11
5915,14
5916,12
5917,11
5918,14
5919,16
5920,19
5921,18
5922,46
5923,13
5924,23
5925,16
5926,18
5927,13
5928,25
5929,16
5930,23
5931,18
5932,22
5933,11
5934,19
5935,23
5936,11
5937,13
5938,14
5939,10
5940,13
5941,18
5942,11
5943,13
5944,15
5945,14
5946,14
5947,12
5948,14
5949,12
5950,14
5951,11
5952,12
5953,15
5954,14
5955,29
5956,19
5957,13
5958,17
5959,10
5960,9
5961,18
5962,11
5963,22
5964,12
5965,14
5966,10
5967,12
5968,14
5969,14
5970,11
5971,34
5972,10
5973,17
5974,9
5975,11
5976,13
5977,10
5978,13
5979,13
5980,13
5981,14
5982,11
5983,19
5984,10
5985,11
5986,11
5987,11
5988,18
5989,10
5990,11
5991,12
5992,21
5993,19
5994,17
5995,15
5996,10
5997,15
5998,12
5999,9
6000,18
6001,12
6002,15
6003,13
