Total Objects,Memory Usage (MB)
1004,280.41717529296875
1005,282.41717529296875
1006,284.41717529296875
1007,286.41717529296875
1008,288.4308624267578
1009,290.41717529296875
1010,292.41717529296875
1011,294.41717529296875
1012,296.4230499267578
1013,298.41717529296875
1014,301.41522216796875
1015,254.51123046875
1016,256.51123046875
1017,258.51123046875
1018,260.51123046875
1019,262.51123046875
1020,264.51123046875
1021,266.51123046875
1022,268.51123046875
1023,270.51123046875
1024,272.51123046875
1025,274.51123046875
1026,276.51123046875
1027,278.51123046875
1028,280.51123046875
1029,282.51123046875
1030,285.51318359375
1031,287.51319885253906
1032,289.51318359375
1033,291.51318359375
1034,293.51318359375
1035,295.51319885253906
1036,297.51318359375
1037,299.51318359375
1038,301.51318359375
1039,259.98941802978516
1040,261.9844055175781
1041,263.984375
1042,265.986328125
1043,267.98439025878906
1044,269.99024963378906
1045,271.9843978881836
1046,274.9825744628906
1047,276.984375
1048,278.98243713378906
1049,280.984375
1050,282.98246002197266
1051,284.984375
1052,286.98267364501953
1053,288.9824981689453
1054,290.982421875
1055,292.9824752807617
1056,294.98243713378906
1057,296.98248291015625
1058,298.984375
1059,300.984375
1060,302.984375
1061,304.98248291015625
1062,267.59322357177734
1063,269.59322357177734
1064,271.59315490722656
1065,273.60682678222656
1066,275.59334564208984
1067,277.59334564208984
1068,279.5931091308594
1069,281.5989761352539
1070,283.5931091308594
1071,285.59505462646484
1072,287.5931167602539
1073,289.5931091308594
1074,291.5931091308594
1075,293.59898376464844
1076,295.5931091308594
1077,298.5110321044922
1078,300.51107025146484
1079,302.5110855102539
1080,304.52661895751953
1081,306.5111541748047
1082,270.7824172973633
1083,272.7798080444336
1084,274.7855453491211
1085,276.77976989746094
1086,278.78001403808594
1087,280.77967834472656
1088,282.78553771972656
1089,284.78746795654297
1090,287.1014099121094
1091,289.1014099121094
1092,291.1014099121094
1093,293.1014099121094
1094,295.1014099121094
1095,297.9416275024414
1096,299.9417495727539
1097,301.94151306152344
1098,303.94738006591797
1099,305.9415512084961
1100,273.5213623046875
1101,275.5186080932617
1102,277.5186004638672
1103,279.5186004638672
1104,281.5186004638672
1105,283.51871490478516
1106,285.51866912841797
1107,287.53421783447266
1108,290.3229751586914
1109,292.3170394897461
1110,294.31703186035156
1111,296.33260345458984
1112,298.31702423095703
1113,300.31725311279297
1114,302.31712341308594
1115,304.3326187133789
1116,306.31702423095703
1117,308.3307113647461
1118,278.5683135986328
1119,281.12646484375
1120,283.12646484375
1121,285.12646484375
1122,287.12646484375
1123,289.12646484375
1124,291.12646484375
1125,293.12646484375
1126,295.12646484375
1127,297.12646484375
1128,299.84698486328125
1129,301.8469924926758
1130,303.84703826904297
1131,305.86070251464844
1132,307.8472213745117
1133,281.3643264770508
1134,283.3617858886719
1135,285.36766052246094
1136,287.36183166503906
1137,289.36202239990234
1138,291.3618469238281
1139,294.00833892822266
1140,296.01427459716797
1141,298.00054931640625
1142,300.00057220458984
1143,302.0064239501953
1144,304.0005645751953
1145,306.0064163208008
1146,308.0005340576172
1147,310.0006790161133
1148,285.64764404296875
1149,287.6450958251953
1150,289.67440032958984
1151,291.6530990600586
1152,293.645263671875
1153,295.6451110839844
1154,297.6509704589844
1155,299.64510345458984
1156,301.645263671875
1157,303.6452102661133
1158,305.84686279296875
1159,307.84686279296875
1160,309.84686279296875
1161,288.7282485961914
1162,290.7304229736328
1163,292.7284698486328
1164,294.7282485961914
1165,296.7282485961914
1166,298.7283020019531
1167,300.72826385498047
1168,302.72825622558594
1169,304.7282485961914
1170,307.28707122802734
1171,309.28721618652344
1172,311.2870864868164
1173,290.42354583740234
1174,292.42882537841797
1175,294.42110443115234
1176,296.4425506591797
1177,298.4212112426758
1178,300.9398498535156
1179,302.9420394897461
1180,304.95555114746094
1181,306.9400939941406
1182,308.94800567626953
1183,310.94000244140625
1184,312.94762420654297
1185,294.3590850830078
1186,296.3624954223633
1187,298.3702926635742
1188,300.3546676635742
1189,302.3552551269531
1190,304.36856842041016
1191,306.3916931152344
1192,308.43701171875
1193,310.9178695678711
1194,295.1764907836914
1195,297.1739273071289
1196,299.18762969970703
1197,301.1740493774414
1198,303.1741714477539
1199,305.17395782470703
1200,307.5868148803711
1201,309.5751724243164
1202,311.5729217529297
1203,313.57293701171875
1204,297.8505401611328
1205,299.85388946533203
1206,302.23927307128906
1207,304.23927307128906
1208,306.23915100097656
1209,308.2548065185547
1210,310.25514221191406
1211,312.25476837158203
1212,314.24707794189453
1213,300.3748550415039
1214,302.37994384765625
1215,304.38809967041016
1216,306.39564514160156
1217,308.74686431884766
1218,310.73140716552734
1219,312.7410888671875
1220,314.73169708251953
1221,302.4814758300781
1222,304.4477844238281
1223,306.4694137573242
1224,308.53114318847656
1225,310.8521957397461
1226,312.85221099853516
1227,302.1529312133789
1228,304.1631164550781
1229,306.1494903564453
1230,308.4286193847656
1231,310.42864990234375
1232,312.43445587158203
1233,314.42860412597656
1234,304.4350357055664
1235,306.43263244628906
1236,308.4324264526367
1237,310.4480514526367
1238,312.43943786621094
1239,314.71370697021484
1240,316.7371292114258
1241,306.228271484375
1242,308.2316589355469
1243,310.5049362182617
1244,312.5049591064453
1245,314.5208053588867
1246,316.5439758300781
1247,318.78406524658203
1248,308.42852783203125
1249,310.43360137939453
1250,312.4392852783203
1251,314.4491271972656
1252,316.7046813964844
1253,318.70471954345703
1254,320.7283477783203
1255,310.35809326171875
1256,312.35809326171875
1257,314.63924407958984
1258,316.6390380859375
1259,318.6390380859375
1260,320.63924407958984
1261,310.41886138916016
1262,312.4182434082031
1263,314.4163284301758
1264,316.4162902832031
1265,318.4163513183594
1266,320.69544982910156
1267,322.69757080078125
1268,312.34642791748047
1269,314.34386444091797
1270,316.59352111816406
1271,318.59959411621094
1272,320.59349060058594
1273,322.6150436401367
1274,324.60150146484375
1275,314.47508239746094
1276,316.4912567138672
1277,318.4725570678711
1278,320.49473571777344
1279,322.75196838378906
1280,324.7752227783203
1281,326.75184631347656
1282,316.36763763427734
1283,318.6145324707031
1284,320.61865997314453
1285,322.61571502685547
1286,324.6305618286133
1287,326.66053009033203
1288,328.66053009033203
1289,318.46920013427734
1290,320.4691848754883
1291,322.46942138671875
1292,324.4692077636719
1293,326.7484130859375
1294,328.74837493896484
1295,318.32801818847656
1296,320.3410949707031
1297,322.3257369995117
1298,324.6047058105469
1299,326.6205139160156
1300,328.6359100341797
1301,330.6340789794922
1302,320.48934173583984
1303,322.5024719238281
1304,324.5182189941406
1305,326.5104217529297
1306,328.76786041259766
1307,330.7814025878906
1308,332.76595306396484
1309,322.2483444213867
1310,324.2303237915039
1311,326.5097427368164
1312,328.5093002319336
1313,330.5247573852539
1314,332.5171890258789
1315,334.7882995605469
1316,336.79615020751953
1317,338.79630279541016
1318,340.80418395996094
1319,342.8117370605469
1320,326.104736328125
1321,328.10462188720703
1322,330.1055908203125
1323,332.10462188720703
1324,334.10462188720703
1325,336.10462188720703
1326,338.10465240478516
1327,340.1046371459961
1328,342.5431594848633
1329,344.54317474365234
1330,322.2926559448242
1331,324.29795837402344
1332,326.29012298583984
1333,328.29227447509766
1334,330.29022216796875
1335,332.72900390625
1336,334.7346725463867
1337,336.7289047241211
1338,338.7444763183594
1339,340.7289276123047
1340,342.74454498291016
1341,344.7291488647461
1342,346.74446868896484
1343,349.1831817626953
1344,351.1675338745117
1345,353.17771911621094
1346,355.18338775634766
1347,357.16778564453125
1348,359.1755676269531
1349,361.1675720214844
1350,363.41075134277344
1351,365.41075134277344
1352,367.41075134277344
1353,369.41075134277344
1354,371.85155487060547
1355,373.8514175415039
1356,375.8514099121094
1357,377.8572692871094
1358,379.8514099121094
1359,381.8516387939453
1360,383.8514633178711
1361,386.29791259765625
1362,388.2910842895508
1363,390.2923278808594
1364,392.29017639160156
1365,394.2902145385742
1366,396.3037796020508
1367,398.29022216796875
1368,400.2901611328125
1369,402.73473358154297
1370,404.7288360595703
1371,406.73482513427734
1372,408.72888946533203
1373,410.74446868896484
1374,412.73663330078125
1375,414.7288818359375
1376,417.16776275634766
1377,419.1694641113281
1378,421.1695556640625
1379,423.1831588745117
1380,425.1676330566406
1381,427.16773223876953
1382,429.169677734375
1383,431.41075134277344
1384,433.41075134277344
1385,435.41075134277344
1386,437.41075134277344
1387,439.8514633178711
1388,441.85143280029297
1389,443.85143280029297
1390,445.8513946533203
1391,341.00952911376953
1392,343.001953125
1393,345.001953125
1394,347.01564025878906
1395,349.001953125
1396,351.001953125
1397,353.001953125
1398,355.01564025878906
1399,357.001953125
1400,359.00782775878906
1401,361.001953125
1402,363.00782775878906
1403,365.001953125
1404,368.0
1405,370.0
1406,372.0
1407,374.0
1408,376.0
1409,378.0
1410,380.0
1411,382.0
1412,384.0
1413,386.0
1414,388.0
1415,390.0
1416,392.0
1417,394.0
1418,396.0
1419,398.0
1420,400.0
1421,403.001953125
1422,405.001953125
1423,407.001953125
1424,409.00782775878906
1425,411.001953125
1426,413.001953125
1427,415.001953125
1428,417.01564025878906
1429,419.001953125
1430,421.001953125
1431,423.001953125
1432,425.01564025878906
1433,427.001953125
1434,429.00782775878906
1435,431.001953125
1436,433.00782775878906
1437,435.001953125
1438,438.0
1439,440.0
1440,442.0
1441,444.0
1442,355.5966796875
1443,357.5966796875
1444,359.5966796875
1445,361.5966796875
1446,363.5966796875
1447,365.5966796875
1448,367.5966796875
1449,369.5966796875
1450,371.5966796875
1451,373.5966796875
1452,375.5966796875
1453,377.5966796875
1454,379.5966796875
