Total Objects,Time (ms)
1004,6
1005,7
1006,5
1007,6
1008,6
1009,6
1010,6
1011,5
1012,6
1013,6
1014,5
1015,6
1016,6
1017,6
1018,5
1019,5
1020,7
1021,8
1022,6
1023,7
1024,6
1025,8
1026,7
1027,10
1028,6
1029,12
1030,5
1031,11
1032,6
1033,8
1034,10
1035,6
1036,8
1037,6
1038,7
1039,17
1040,6
1041,12
1042,9
1043,6
1044,9
1045,15
1046,5
1047,5
1048,7
1049,6
1050,11
1051,6
1052,10
1053,6
1054,11
1055,5
1056,8
1057,6
1058,9
1059,6
1060,9
1061,6
1062,8
1063,6
1064,9
1065,5
1066,8
1067,6
1068,10
1069,5
1070,9
1071,5
1072,14
1073,6
1074,5
1075,8
1076,6
1077,9
1078,11
1079,13
1080,11
1081,10
1082,11
1083,7
1084,8
1085,11
1086,11
1087,12
1088,7
1089,6
1090,11
1091,9
1092,6
1093,6
1094,7
1095,9
1096,10
1097,5
1098,9
1099,8
1100,11
1101,9
1102,9
1103,7
1104,10
1105,6
1106,9
1107,5
1108,10
1109,12
1110,9
1111,11
1112,11
1113,12
1114,7
1115,15
1116,9
1117,8
1118,13
1119,13
1120,11
1121,10
1122,6
1123,8
1124,9
1125,9
1126,9
1127,10
1128,5
1129,9
1130,10
1131,7
1132,6
1133,16
1134,9
1135,10
1136,5
1137,10
1138,9
1139,5
1140,8
1141,10
1142,9
1143,10
1144,9
1145,5
1146,10
1147,12
1148,11
1149,5
1150,8
1151,9
1152,8
1153,5
1154,9
1155,11
1156,11
1157,14
1158,17
1159,14
1160,10
1161,15
1162,11
1163,14
1164,13
1165,7
1166,6
1167,8
1168,6
1169,6
1170,13
1171,5
1172,7
1173,11
1174,6
1175,10
1176,7
1177,11
1178,6
1179,6
1180,8
1181,6
1182,6
1183,6
1184,7
1185,5
1186,6
1187,5
1188,5
1189,5
1190,6
1191,6
1192,8
1193,5
1194,8
1195,6
1196,6
1197,5
1198,7
1199,5
1200,7
1201,6
1202,6
1203,6
1204,11
1205,5
1206,5
1207,5
1208,5
1209,5
1210,5
1211,5
1212,5
1213,5
1214,7
1215,5
1216,6
1217,5
1218,22
1219,14
1220,11
1221,7
1222,7
1223,6
1224,9
1225,22
1226,15
1227,25
1228,10
1229,5
1230,9
1231,5
1232,8
1233,6
1234,9
1235,10
1236,6
1237,9
1238,6
1239,6
1240,11
1241,5
1242,10
1243,7
1244,6
1245,8
1246,6
1247,10
1248,12
1249,8
1250,12
1251,7
1252,6
1253,7
1254,5
1255,8
1256,10
1257,12
1258,10
1259,11
1260,6
1261,18
1262,8
1263,7
1264,12
1265,6
1266,10
1267,6
1268,10
1269,10
1270,5
1271,8
1272,5
1273,8
1274,5
1275,5
1276,6
1277,14
1278,5
1279,7
1280,8
1281,5
1282,10
1283,6
1284,7
1285,33
1286,7
1287,6
1288,8
1289,7
1290,6
1291,7
1292,5
1293,6
1294,5
1295,10
1296,6
1297,5
1298,9
1299,10
1300,6
1301,9
1302,9
1303,6
1304,8
1305,6
1306,9
1307,5
1308,5
1309,11
1310,7
1311,7
1312,7
1313,9
1314,7
1315,7
1316,11
1317,24
1318,30
1319,6
1320,12
1321,9
1322,9
1323,10
1324,5
1325,17
1326,16
1327,12
1328,7
1329,20
1330,13
1331,7
1332,7
1333,10
1334,7
1335,10
1336,15
1337,7
1338,11
1339,23
1340,10
1341,8
1342,9
1343,7
1344,7
1345,10
1346,6
1347,12
1348,6
1349,8
1350,17
1351,8
1352,20
1353,20
1354,8
1355,11
1356,10
1357,20
1358,20
1359,8
1360,9
1361,10
1362,16
1363,10
1364,10
1365,12
1366,6
1367,14
1368,11
1369,9
1370,8
1371,16
1372,15
1373,11
1374,8
1375,16
1376,23
1377,9
1378,7
1379,17
1380,20
1381,11
1382,8
1383,18
1384,8
1385,15
1386,9
1387,17
1388,13
1389,6
1390,10
1391,19
1392,7
1393,8
1394,6
1395,11
1396,6
1397,5
1398,10
1399,6
1400,7
1401,5
1402,7
1403,6
1404,5
1405,6
1406,6
1407,8
1408,16
1409,7
1410,7
1411,10
1412,6
1413,10
1414,8
1415,7
1416,8
1417,6
1418,14
1419,6
1420,5
