Total Objects,Time (ms)
4,326
5,20
6,17
7,28
8,28
9,16
10,24
11,31
12,14
13,15
14,22
15,25
16,22
17,20
18,15
19,33
20,35
21,30
22,32
23,39
24,39
25,30
26,21
27,22
28,12
29,12
30,24
31,21
32,37
33,12
34,18
35,11
36,22
37,10
38,13
39,16
40,12
41,14
42,19
43,12
44,11
45,11
46,11
47,24
48,23
49,17
50,10
51,16
52,10
53,16
54,12
55,10
56,17
57,19
58,9
59,16
60,10
61,17
62,9
63,10
64,17
65,9
66,10
67,10
68,11
69,16
70,9
71,15
72,9
73,9
74,24
75,10
76,9
77,27
78,8
79,9
80,22
81,9
82,9
83,15
84,9
85,8
86,19
87,10
88,11
89,21
90,10
91,9
92,20
93,10
94,10
95,26
96,9
97,12
98,8
99,16
100,10
101,23
102,10
103,11
104,9
105,15
106,9
107,9
108,8
109,9
110,15
111,9
112,15
113,8
114,8
115,18
116,9
117,13
118,9
119,13
120,25
121,23
122,8
123,9
124,16
125,8
126,14
127,7
128,17
129,14
130,9
131,9
132,14
133,10
134,10
135,10
136,9
137,10
138,13
139,9
140,14
141,8
142,11
143,30
144,8
145,15
146,11
147,9
148,13
149,7
150,12
151,9
152,8
153,17
154,11
155,9
156,10
157,8
158,13
159,9
160,16
161,8
162,8
163,16
164,8
165,9
166,8
167,10
168,8
169,9
170,8
171,7
172,9
173,8
174,8
175,17
176,8
177,8
178,12
179,7
180,14
181,7
182,14
183,19
184,8
185,9
186,7
187,8
188,16
189,8
190,12
191,8
192,15
193,16
194,8
195,27
196,12
197,14
198,7
199,8
200,18
201,7
202,14
203,8
204,13
205,9
206,7
207,13
208,8
209,13
210,8
211,8
212,11
213,8
214,13
215,8
216,7
217,14
218,11
219,7
220,11
221,7
222,12
223,8
224,18
225,9
226,9
227,14
228,8
229,10
230,9
231,8
232,12
233,11
234,10
235,9
236,7
237,12
238,7
239,12
240,12
241,13
242,13
243,20
244,12
245,14
246,17
247,8
248,10
249,22
250,10
251,12
252,7
253,7
254,15
255,10
256,10
257,9
258,10
259,13
260,10
261,8
262,29
263,8
264,8
265,14
266,7
267,12
268,10
269,8
270,20
271,9
272,9
273,7
274,8
275,7
276,8
277,11
278,8
279,14
280,14
281,9
282,18
283,10
284,16
285,7
286,9
287,9
288,12
289,19
290,10
291,15
292,6
293,9
294,11
295,12
296,7
297,15
298,7
299,8
300,16
301,9
302,15
303,9
304,7
305,12
306,8
307,21
308,6
309,8
310,15
311,11
312,11
313,11
314,10
315,9
316,8
317,11
318,14
319,7
320,10
321,11
322,7
323,21
324,17
325,9
326,6
327,11
328,11
329,7
330,7
331,20
332,9
333,7
334,16
335,7
336,15
337,11
338,7
339,10
340,8
341,16
342,7
343,9
344,7
345,11
346,10
347,7
348,17
349,10
350,7
351,9
352,9
353,11
354,9
355,13
356,8
357,8
358,16
359,7
360,7
361,9
362,8
363,7
364,7
365,13
366,7
367,9
368,6
369,9
370,13
371,12
372,9
373,18
374,8
375,7
376,6
377,9
378,7
379,13
380,7
381,16
382,11
383,7
384,18
385,7
386,8
387,10
388,6
389,15
390,7
391,6
392,13
393,8
394,13
395,8
396,8
397,11
398,8
399,11
400,9
401,7
402,13
403,7
404,10
405,7
406,7
407,19
408,8
409,8
410,12
411,6
412,7
413,12
414,10
415,11
416,10
417,12
418,7
419,8
420,8
421,8
422,11
423,9
424,12
425,8
426,8
427,14
428,6
429,6
430,19
431,9
432,7
433,11
434,8
435,16
436,8
437,8
438,11
439,7
440,15
441,6
442,8
443,16
444,7
445,8
446,6
447,7
448,19
449,13
450,7
451,7
452,11
453,7
454,8
455,11
456,8
457,9
458,13
459,10
460,13
461,6
462,7
463,7
464,7
465,7
466,10
467,8
468,7
469,7
470,10
471,6
472,8
473,7
474,7
475,14
476,6
477,18
478,8
479,5
480,15
481,7
482,7
483,16
484,6
485,8
486,9
487,9
488,14
489,14
490,8
491,9
492,7
493,16
494,6
495,9
496,8
497,9
498,7
499,8
500,7
501,14
502,6
503,7
504,9
505,11
506,7
507,9
508,7
509,7
510,12
511,7
512,17
513,6
514,6
515,15
516,7
517,7
518,7
519,11
520,10
521,7
522,10
523,13
524,6
525,8
526,11
527,6
528,6
529,16
530,6
531,11
532,10
533,7
534,17
535,7
536,8
537,15
538,7
539,14
540,12
541,7
542,9
543,6
544,11
545,7
546,9
547,14
548,10
549,7
550,18
551,13
552,7
553,12
554,9
555,10
556,6
557,7
558,14
559,7
560,6
561,14
562,8
563,10
564,8
565,15
566,7
567,6
568,12
569,8
570,16
571,6
572,8
573,11
574,6
575,13
576,14
577,8
578,11
579,6
580,11
581,9
582,7
583,14
584,8
585,13
586,7
587,8
588,10
589,6
590,11
591,7
592,8
593,10
594,7
595,15
596,7
597,7
598,9
599,6
600,10
601,8
602,8
603,14
604,7
605,6
606,13
607,8
608,13
609,7
610,7
611,9
612,8
613,14
614,6
615,6
616,10
617,9
618,10
619,10
620,6
621,12
622,5
623,13
624,6
625,9
626,17
627,13
628,14
629,9
630,11
631,9
632,11
633,11
634,8
635,14
636,7
637,9
638,22
639,9
640,12
641,6
642,12
643,7
644,6
645,10
646,6
647,7
648,6
649,10
650,6
651,6
652,6
653,8
654,7
655,7
656,7
657,6
658,16
659,8
660,11
661,7
662,7
663,13
664,7
665,12
666,6
667,8
668,10
669,8
670,10
671,14
672,6
673,13
674,7
675,8
676,11
677,6
678,9
679,5
680,6
681,12
682,8
683,12
684,6
685,8
686,11
687,6
688,17
689,19
690,17
691,8
692,13
693,9
694,10
695,6
696,7
697,16
698,11
699,6
700,8
701,5
702,11
703,9
704,7
705,14
706,9
707,13
708,6
709,9
710,6
711,8
712,22
713,19
714,6
715,12
716,6
717,7
718,7
719,8
720,18
721,8
722,11
723,19
724,6
725,10
726,8
727,6
728,14
729,6
730,11
731,8
732,6
733,11
734,6
735,11
736,6
737,7
738,10
739,8
740,6
741,15
742,22
743,19
744,10
745,6
746,10
747,6
748,10
749,6
750,12
751,9
752,6
753,7
754,5
755,5
756,6
757,6
758,7
759,6
760,6
761,6
762,6
763,7
764,6
765,6
766,7
767,10
768,7
769,10
770,6
771,9
772,7
773,8
774,7
775,10
776,7
777,9
778,9
779,6
780,7
781,6
782,5
783,6
784,9
785,6
786,6
787,7
788,6
789,7
790,9
791,5
792,6
793,7
794,9
795,5
796,6
797,6
798,6
799,7
800,17
