Total Objects,Time (ms)
2004,3
2005,5
2006,3
2007,4
2008,3
2009,3
2010,4
2011,4
2012,11
2013,8
2014,7
2015,7
2016,2
2017,2
2018,2
2019,4
2020,2
2021,3
2022,3
2023,2
2024,2
2025,2
2026,6
2027,2
2028,3
2029,2
2030,2
2031,1
2032,2
2033,3
2034,1
2035,5
2036,1
2037,4
2038,2
2039,4
2040,2
2041,5
2042,2
2043,3
2044,2
2045,4
2046,3
2047,3
2048,2
2049,3
2050,3
2051,3
2052,2
2053,3
2054,3
2055,4
2056,3
2057,4
2058,4
2059,2
2060,2
2061,2
2062,2
2063,3
2064,2
2065,4
2066,3
2067,4
2068,2
2069,3
2070,3
2071,3
2072,1
2073,4
2074,2
2075,3
2076,3
2077,6
2078,17
2079,2
2080,2
2081,2
2082,3
2083,3
2084,4
2085,2
2086,2
2087,2
2088,3
2089,2
2090,3
2091,2
2092,3
2093,2
2094,4
2095,3
2096,2
2097,2
2098,4
2099,2
2100,2
2101,4
2102,3
2103,3
2104,2
2105,2
2106,2
2107,1
2108,2
2109,3
2110,3
2111,2
2112,4
2113,3
2114,2
2115,3
2116,2
2117,3
2118,3
2119,2
2120,4
2121,3
2122,3
2123,2
2124,4
2125,4
2126,6
2127,3
2128,4
2129,3
2130,6
2131,3
2132,3
2133,5
2134,4
2135,4
2136,5
2137,2
2138,3
2139,2
2140,2
2141,2
2142,3
2143,3
2144,2
2145,2
2146,2
2147,3
2148,2
2149,4
2150,3
2151,2
2152,2
2153,2
2154,2
2155,2
2156,3
2157,3
2158,2
2159,2
2160,2
2161,7
2162,3
2163,3
2164,4
2165,2
2166,3
2167,3
2168,3
2169,4
2170,2
2171,4
2172,2
2173,5
2174,3
2175,4
2176,2
2177,2
2178,2
2179,2
2180,3
2181,3
2182,4
2183,3
2184,4
2185,2
2186,5
2187,3
2188,3
2189,2
2190,4
2191,3
2192,3
2193,2
2194,4
2195,2
2196,3
2197,2
2198,5
2199,3
2200,3
2201,3
2202,3
2203,13
2204,5
2205,6
2206,2
2207,6
2208,2
2209,4
2210,3
2211,3
2212,1
2213,5
2214,2
2215,5
2216,3
2217,3
2218,2
2219,5
2220,3
2221,3
2222,2
2223,3
2224,2
2225,4
2226,2
2227,2
2228,3
2229,5
2230,2
2231,2
2232,3
2233,6
2234,2
2235,4
2236,3
2237,3
2238,3
2239,5
2240,3
2241,2
2242,1
2243,5
2244,3
2245,6
2246,3
2247,3
2248,3
2249,3
2250,3
2251,5
2252,2
2253,5
2254,3
2255,4
2256,2
2257,5
2258,2
2259,3
2260,3
2261,3
2262,3
2263,3
2264,2
2265,4
2266,3
2267,2
2268,3
2269,3
2270,2
2271,3
2272,2
2273,2
2274,2
2275,2
2276,2
2277,2
2278,4
2279,2
2280,3
2281,5
2282,2
2283,3
2284,3
2285,5
2286,2
2287,3
2288,2
2289,4
2290,2
2291,5
2292,3
2293,2
2294,3
2295,4
2296,3
2297,2
2298,4
2299,4
2300,2
2301,3
2302,2
2303,3
2304,3
2305,3
2306,2
2307,3
2308,2
2309,5
2310,2
2311,3
2312,2
2313,2
2314,3
2315,3
2316,2
2317,5
2318,3
2319,4
2320,3
2321,4
2322,3
2323,4
2324,3
2325,3
2326,2
2327,3
2328,2
2329,4
2330,2
2331,3
2332,2
2333,5
2334,2
2335,3
2336,2
2337,4
2338,3
2339,3
2340,2
2341,5
2342,3
2343,5
2344,4
2345,3
2346,3
2347,3
2348,2
2349,4
2350,3
2351,5
2352,2
2353,3
2354,2
2355,3
2356,3
2357,4
2358,4
2359,2
2360,3
2361,7
2362,4
2363,3
2364,3
2365,3
2366,1
2367,2
2368,3
2369,4
2370,9
2371,5
2372,4
2373,4
2374,2
2375,4
2376,3
2377,2
2378,3
2379,2
2380,4
2381,3
2382,6
2383,2
2384,3
2385,3
2386,5
2387,2
2388,3
2389,3
2390,2
2391,2
2392,4
2393,3
2394,2
2395,3
2396,2
2397,3
2398,2
2399,6
2400,5
2401,7
2402,22
2403,5
2404,2
2405,2
2406,2
2407,2
2408,4
2409,3
2410,4
2411,3
2412,4
2413,3
2414,3
2415,3
2416,4
2417,3
2418,3
2419,2
2420,3
2421,1
2422,3
2423,3
2424,4
2425,3
2426,2
2427,2
2428,4
2429,2
2430,2
2431,3
2432,4
2433,4
2434,2
2435,2
2436,3
2437,4
2438,3
2439,3
2440,3
2441,2
2442,3
2443,3
2444,2
2445,3
2446,3
2447,4
2448,2
2449,2
2450,3
2451,3
2452,3
2453,3
2454,4
2455,2
2456,5
2457,2
2458,3
2459,2
2460,2
2461,3
2462,3
2463,3
2464,2
2465,2
2466,3
2467,3
2468,3
2469,2
2470,3
2471,1
2472,3
2473,2
2474,5
2475,2
2476,3
2477,2
2478,3
2479,2
2480,2
2481,3
2482,2
2483,5
2484,2
2485,2
2486,3
2487,3
2488,3
2489,3
2490,3
2491,3
2492,2
2493,2
2494,2
2495,3
2496,3
2497,3
2498,2
2499,2
2500,2
2501,5
2502,2
2503,3
2504,2
2505,3
2506,2
2507,2
2508,2
2509,4
2510,3
2511,4
2512,2
2513,3
2514,3
2515,6
2516,2
2517,2
2518,2
2519,3
2520,3
2521,2
2522,3
2523,2
2524,3
2525,2
2526,6
2527,2
2528,4
2529,2
2530,3
2531,3
2532,2
2533,4
2534,4
2535,4
2536,3
2537,3
2538,2
2539,2
2540,2
2541,4
2542,3
2543,3
2544,2
2545,4
2546,2
2547,6
2548,2
2549,4
2550,3
