Total Objects,Time (ms)
4004,2
4005,2
4006,3
4007,2
4008,3
4009,2
4010,2
4011,2
4012,3
4013,1
4014,2
4015,3
4016,2
4017,1
4018,3
4019,2
4020,2
4021,4
4022,2
4023,2
4024,1
4025,2
4026,2
4027,2
4028,2
4029,4
4030,2
4031,2
4032,5
4033,2
4034,1
4035,2
4036,3
4037,2
4038,4
4039,2
4040,2
4041,3
4042,2
4043,2
4044,3
4045,2
4046,19
4047,2
4048,2
4049,2
4050,3
4051,1
4052,3
4053,3
4054,2
4055,2
4056,3
4057,2
4058,2
4059,3
4060,2
4061,2
4062,2
4063,2
4064,2
4065,2
4066,2
4067,2
4068,3
4069,6
4070,4
4071,4
4072,3
4073,7
4074,3
4075,5
4076,3
4077,6
4078,2
4079,4
4080,2
4081,5
4082,3
4083,5
4084,3
4085,6
4086,3
4087,2
4088,2
4089,2
4090,3
4091,3
4092,2
4093,6
4094,3
4095,4
4096,5
4097,3
4098,4
4099,4
4100,4
4101,5
4102,4
4103,3
4104,2
4105,4
4106,3
4107,5
4108,4
4109,8
4110,3
4111,4
4112,3
4113,5
4114,3
4115,2
4116,3
4117,3
4118,3
4119,2
4120,2
4121,2
4122,2
4123,1
4124,2
4125,2
4126,2
4127,3
4128,6
4129,2
4130,3
4131,2
4132,2
4133,2
4134,2
4135,1
4136,3
4137,1
4138,2
4139,3
4140,2
4141,2
4142,3
4143,3
4144,3
4145,2
4146,2
4147,4
4148,2
4149,2
4150,3
4151,2
4152,2
4153,3
4154,2
4155,2
4156,4
4157,2
4158,2
4159,3
4160,2
4161,2
4162,3
4163,3
4164,3
4165,4
4166,2
4167,3
4168,3
4169,2
4170,3
4171,3
4172,2
4173,2
4174,3
4175,2
4176,2
4177,2
4178,1
4179,2
4180,2
4181,2
4182,2
4183,3
4184,2
4185,3
4186,2
4187,2
4188,3
4189,3
4190,2
4191,5
4192,3
4193,3
4194,3
4195,2
4196,2
4197,3
4198,2
4199,2
4200,3
4201,2
4202,2
4203,2
4204,2
4205,3
4206,4
4207,2
4208,2
4209,4
4210,3
4211,3
4212,5
4213,2
4214,2
4215,5
4216,2
4217,2
4218,4
4219,2
4220,2
4221,4
4222,3
4223,2
4224,2
4225,2
4226,2
4227,3
4228,2
4229,1
4230,2
4231,2
4232,1
4233,4
4234,2
4235,2
4236,3
4237,2
4238,2
4239,4
4240,2
4241,2
4242,2
4243,2
4244,2
4245,4
4246,2
4247,2
4248,3
4249,2
4250,1
4251,4
4252,6
4253,4
4254,7
4255,3
4256,6
4257,5
4258,5
4259,3
4260,5
4261,4
4262,3
4263,4
4264,6
4265,4
4266,7
4267,4
4268,6
4269,2
4270,2
4271,3
4272,3
4273,4
4274,2
4275,2
4276,5
4277,1
4278,2
4279,4
4280,3
4281,2
4282,2
4283,1
4284,2
4285,3
4286,3
4287,3
4288,3
4289,3
4290,2
4291,1
4292,2
4293,2
4294,4
4295,2
4296,1
4297,3
4298,2
4299,2
4300,4
4301,1
4302,2
4303,4
4304,2
4305,2
4306,3
4307,1
4308,3
4309,4
4310,2
4311,2
4312,2
4313,2
4314,2
4315,2
4316,3
4317,2
4318,4
4319,2
4320,1
4321,2
4322,2
4323,2
4324,3
4325,2
4326,3
4327,2
4328,2
4329,1
4330,3
4331,2
4332,2
4333,3
4334,2
4335,2
4336,4
4337,2
4338,2
4339,3
4340,2
4341,2
4342,4
4343,2
4344,2
4345,2
4346,2
4347,2
4348,5
4349,2
4350,2
4351,3
4352,3
4353,2
4354,2
4355,3
4356,2
4357,3
4358,2
4359,2
4360,2
4361,2
4362,3
4363,3
4364,2
4365,2
4366,3
4367,2
4368,2
4369,5
4370,2
4371,2
4372,3
4373,2
4374,3
4375,2
4376,2
4377,2
4378,2
4379,2
4380,2
4381,2
4382,2
4383,4
4384,2
4385,4
4386,3
4387,2
4388,2
4389,4
4390,2
4391,2
4392,3
4393,2
4394,4
4395,4
4396,2
4397,2
4398,3
4399,3
4400,2
4401,4
4402,2
4403,3
4404,3
4405,2
4406,3
4407,3
4408,2
4409,3
4410,4
4411,2
4412,3
4413,2
4414,1
4415,3
4416,2
4417,2
4418,5
4419,2
4420,3
4421,3
4422,2
4423,2
4424,3
4425,3
4426,3
4427,5
4428,2
4429,3
4430,3
4431,2
4432,2
4433,4
4434,2
4435,2
4436,3
4437,2
4438,3
4439,3
4440,2
4441,2
4442,3
4443,2
4444,4
4445,2
4446,2
4447,2
4448,3
4449,2
4450,2
4451,2
4452,2
4453,2
4454,2
4455,2
4456,1
4457,3
4458,2
4459,2
4460,4
4461,2
4462,1
4463,2
4464,3
4465,2
4466,4
4467,3
4468,2
4469,3
4470,2
4471,2
4472,3
4473,1
4474,3
4475,5
4476,4
4477,5
4478,3
4479,2
4480,2
4481,3
4482,4
4483,2
4484,3
4485,3
4486,5
4487,8
4488,19
4489,8
4490,10
4491,5
4492,5
4493,5
4494,3
4495,5
4496,14
4497,7
4498,4
4499,4
4500,8
4501,4
4502,7
4503,4
4504,3
4505,2
4506,2
4507,2
4508,6
4509,6
4510,6
4511,6
4512,4
4513,10
4514,3
4515,6
4516,6
4517,3
4518,7
4519,8
4520,4
4521,6
4522,3
4523,5
4524,11
4525,4
4526,2
4527,3
4528,10
4529,5
4530,4
4531,4
4532,4
4533,3
4534,3
4535,3
4536,6
4537,4
4538,5
4539,5
4540,8
4541,3
4542,5
4543,3
4544,9
4545,3
4546,5
4547,6
4548,4
4549,5
4550,5
4551,5
4552,3
4553,5
4554,7
4555,4
4556,6
4557,3
4558,7
4559,6
4560,7
4561,6
4562,6
4563,5
4564,4
4565,3
4566,6
4567,5
4568,4
4569,2
4570,11
4571,4
4572,3
4573,6
4574,5
4575,3
4576,7
4577,5
4578,6
4579,2
4580,10
4581,35
4582,4
4583,6
4584,4
4585,4
4586,6
4587,3
4588,4
4589,5
4590,3
4591,8
4592,3
4593,4
4594,8
4595,4
4596,5
4597,5
4598,5
4599,8
4600,9
4601,3
4602,4
4603,4
4604,6
4605,3
4606,5
4607,4
4608,5
4609,4
4610,3
4611,3
4612,5
4613,4
4614,7
4615,4
4616,3
4617,7
4618,4
4619,5
4620,6
4621,4
4622,5
4623,8
4624,4
4625,4
4626,7
4627,2
4628,5
4629,6
4630,3
4631,5
4632,2
4633,2
4634,3
4635,2
4636,3
4637,3
4638,2
4639,4
4640,3
4641,5
4642,2
4643,3
4644,4
4645,2
4646,5
4647,3
4648,2
4649,3
4650,3
4651,4
4652,3
4653,2
4654,6
4655,6
4656,4
4657,4
4658,8
4659,3
4660,6
4661,5
4662,4
4663,8
4664,4
4665,8
4666,5
4667,4
4668,3
4669,8
4670,5
4671,5
4672,7
4673,3
4674,5
4675,9
4676,3
4677,11
4678,5
4679,4
4680,7
4681,3
4682,9
4683,2
4684,6
4685,5
4686,4
4687,5
4688,4
4689,4
4690,3
4691,7
4692,5
4693,6
4694,4
4695,5
4696,4
4697,4
4698,8
4699,10
4700,4
4701,5
4702,8
4703,4
4704,7
4705,6
4706,6
4707,4
4708,5
4709,4
4710,4
4711,3
4712,11
4713,3
4714,8
4715,6
4716,7
4717,4
4718,3
4719,5
4720,6
4721,5
4722,6
4723,4
4724,5
4725,4
4726,4
4727,7
4728,4
4729,5
4730,3
4731,11
4732,5
4733,5
4734,4
4735,8
4736,4
4737,4
4738,6
4739,4
4740,7
4741,8
4742,4
4743,3
4744,7
4745,3
4746,4
4747,17
4748,4
4749,6
4750,4
4751,8
4752,5
4753,4
4754,4
4755,5
4756,5
4757,4
4758,8
4759,5
4760,7
4761,6
4762,6
4763,4
4764,5
4765,3
4766,5
4767,4
4768,4
4769,8
4770,4
4771,8
4772,3
4773,6
4774,2
4775,7
4776,5
4777,4
4778,3
4779,2
4780,2
4781,3
4782,3
4783,3
4784,2
4785,4
4786,3
4787,3
4788,3
4789,2
4790,3
4791,3
4792,3
4793,4
4794,3
4795,4
4796,2
4797,4
4798,2
4799,2
4800,2
4801,5
4802,2
4803,3
4804,5
4805,3
4806,2
4807,4
4808,3
4809,3
4810,2
4811,2
4812,3
4813,3
4814,2
4815,3
4816,4
4817,3
4818,3
4819,3
4820,2
4821,5
4822,3
4823,3
4824,4
4825,2
4826,3
4827,2
4828,2
4829,6
4830,2
4831,8
4832,2
4833,2
4834,7
4835,2
4836,3
4837,4
4838,2
4839,5
4840,3
4841,3
4842,4
4843,1
4844,24
4845,2
4846,3
4847,3
4848,2
4849,3
4850,3
4851,3
4852,2
4853,3
4854,5
4855,2
4856,3
4857,1
4858,2
4859,3
4860,3
4861,4
4862,2
4863,4
4864,2
4865,3
4866,4
4867,2
4868,3
4869,6
4870,3
4871,2
4872,5
4873,2
4874,4
4875,2
4876,3
4877,5
4878,2
4879,2
4880,4
4881,2
4882,2
4883,2
4884,2
4885,2
4886,6
4887,2
4888,3
4889,3
4890,3
4891,6
4892,2
4893,3
4894,4
4895,2
4896,4
4897,2
4898,2
4899,3
4900,3
4901,4
4902,2
4903,2
4904,3
4905,4
4906,2
4907,2
4908,5
4909,2
4910,2
4911,4
4912,2
4913,2
4914,5
4915,3
4916,8
4917,5
4918,3
4919,8
4920,4
4921,4
4922,7
4923,3
4924,6
4925,6
4926,4
4927,4
4928,7
4929,6
4930,5
4931,6
4932,4
4933,8
4934,4
4935,6
4936,6
4937,4
4938,4
4939,3
4940,3
4941,4
4942,2
4943,3
4944,3
4945,3
4946,4
4947,3
4948,2
4949,2
4950,3
4951,7
4952,3
4953,3
4954,4
4955,3
4956,8
4957,2
4958,3
4959,4
4960,4
4961,3
4962,2
4963,2
4964,4
4965,2
4966,3
4967,6
4968,3
4969,3
4970,2
4971,3
4972,3
4973,2
4974,5
4975,4
4976,2
4977,4
4978,2
4979,5
4980,2
4981,2
4982,4
4983,3
4984,4
4985,2
4986,2
4987,3
4988,2
4989,3
4990,2
4991,4
4992,2
4993,3
4994,3
4995,2
4996,3
4997,4
4998,2
4999,2
5000,3
5001,2
5002,4
5003,3
