Total Objects,Time (ms)
3004,3
3005,3
3006,3
3007,2
3008,2
3009,2
3010,2
3011,2
3012,3
3013,2
3014,2
3015,4
3016,3
3017,3
3018,2
3019,2
3020,3
3021,3
3022,2
3023,4
3024,2
3025,3
3026,5
3027,3
3028,3
3029,3
3030,2
3031,2
3032,4
3033,2
3034,4
3035,5
3036,2
3037,2
3038,5
3039,2
3040,2
3041,4
3042,2
3043,2
3044,10
3045,2
3046,7
3047,2
3048,4
3049,3
3050,4
3051,3
3052,2
3053,5
3054,3
3055,5
3056,2
3057,3
3058,6
3059,3
3060,10
3061,3
3062,5
3063,3
3064,4
3065,4
3066,5
3067,3
3068,3
3069,2
3070,7
3071,3
3072,2
3073,3
3074,2
3075,3
3076,3
3077,4
3078,4
3079,6
3080,3
3081,5
3082,4
3083,5
3084,6
3085,4
3086,4
3087,2
3088,3
3089,2
3090,3
3091,3
3092,3
3093,2
3094,2
3095,4
3096,3
3097,2
3098,2
3099,3
3100,2
3101,3
3102,3
3103,2
3104,3
3105,3
3106,3
3107,2
3108,2
3109,5
3110,3
3111,3
3112,2
3113,4
3114,2
3115,3
3116,4
3117,2
3118,4
3119,2
3120,6
3121,2
3122,3
3123,7
3124,2
3125,5
3126,2
3127,6
3128,4
3129,2
3130,2
3131,7
3132,4
3133,8
3134,4
3135,5
3136,4
3137,5
3138,2
3139,4
3140,4
3141,3
3142,2
3143,7
3144,3
3145,2
3146,4
3147,2
3148,6
3149,3
3150,4
3151,5
3152,3
3153,2
3154,3
3155,3
3156,2
3157,3
3158,3
3159,3
3160,10
3161,9
3162,3
3163,2
3164,3
3165,5
3166,3
3167,3
3168,3
3169,5
3170,4
3171,3
3172,3
3173,4
3174,2
3175,4
3176,3
3177,3
3178,14
3179,4
3180,5
3181,2
3182,4
3183,2
3184,4
3185,4
3186,5
3187,2
3188,3
3189,2
3190,3
3191,5
3192,3
3193,3
3194,4
3195,2
3196,6
3197,3
3198,5
3199,3
3200,2
3201,4
3202,3
3203,6
3204,4
3205,2
3206,3
3207,2
3208,4
3209,4
3210,3
3211,2
3212,3
3213,4
3214,2
3215,2
3216,6
3217,2
3218,4
3219,3
3220,1
3221,6
3222,3
3223,5
3224,3
3225,3
3226,4
3227,3
3228,4
3229,3
3230,3
3231,3
3232,5
3233,3
3234,4
3235,2
3236,4
3237,4
3238,3
3239,3
3240,2
3241,5
3242,2
3243,5
3244,5
3245,1
3246,3
3247,4
3248,3
3249,2
3250,4
3251,2
3252,3
3253,4
3254,2
3255,3
3256,6
3257,3
3258,5
3259,3
3260,3
3261,3
3262,2
3263,3
3264,4
3265,2
3266,4
3267,3
3268,2
3269,2
3270,2
3271,5
3272,2
3273,2
3274,2
3275,4
3276,4
3277,3
3278,3
3279,2
3280,4
3281,4
3282,2
3283,3
3284,9
3285,3
3286,3
3287,3
3288,3
3289,6
3290,2
3291,4
3292,6
3293,11
3294,7
3295,11
