Total Objects,Memory Usage (MB)
5004,1009.90380859375
5005,1011.90380859375
5006,1012.90576171875
5007,1014.90576171875
5008,1016.90576171875
5009,1018.9116363525391
5010,1019.90380859375
5011,1021.90380859375
5012,1023.90380859375
5013,1024.90576171875
5014,1026.90576171875
5015,1028.90576171875
5016,1030.90576171875
5017,1031.90380859375
5018,1033.90380859375
5019,1035.90380859375
5020,1037.90380859375
5021,1038.90576171875
5022,1040.90576171875
5023,1042.90576171875
5024,1044.90576171875
5025,1045.90380859375
5026,1047.90380859375
5027,1049.90380859375
5028,1051.90380859375
5029,1052.90576171875
5030,1054.90576171875
5031,1056.90576171875
5032,1058.90576171875
5033,1059.90380859375
5034,1061.90380859375
5035,1063.90380859375
5036,1065.90380859375
5037,1066.90576171875
5038,1068.90576171875
5039,1070.90576171875
5040,1072.90576171875
5041,1073.90380859375
5042,1075.90380859375
5043,1077.90380859375
5044,1078.919448852539
5045,1080.90576171875
5046,1082.90576171875
5047,1084.90576171875
5048,1085.90380859375
5049,1087.90380859375
5050,1089.90380859375
5051,1091.90380859375
5052,992.5232849121094
5053,994.51318359375
5054,996.51318359375
5055,998.51318359375
5056,999.51123046875
5057,1001.51123046875
5058,1003.51123046875
5059,1005.51123046875
5060,1006.51318359375
5061,1008.5190582275391
5062,1010.51318359375
5063,1012.51318359375
5064,1013.51123046875
5065,1015.51123046875
5066,1017.51123046875
5067,1019.51123046875
5068,1020.51318359375
5069,1022.5268707275391
5070,1024.51318359375
5071,1026.51318359375
5072,1027.51123046875
5073,1029.51123046875
5074,1031.51123046875
5075,1033.51123046875
5076,1034.51318359375
5077,1036.519058227539
5078,1038.526870727539
5079,1040.51318359375
5080,1041.51123046875
5081,1043.51123046875
5082,1045.51123046875
5083,1047.51123046875
5084,1048.51318359375
5085,1050.51318359375
5086,1052.51318359375
5087,1054.51318359375
5088,1055.51123046875
5089,1057.51123046875
5090,1059.51123046875
5091,1060.526870727539
5092,1062.51318359375
5093,1064.51318359375
5094,1066.513198852539
5095,1067.51123046875
5096,1069.51123046875
5097,1071.51123046875
5098,1073.51123046875
5099,1074.51318359375
5100,1076.519058227539
5101,1078.51318359375
5102,1080.51318359375
5103,1082.761245727539
5104,1084.51318359375
5105,1085.51123046875
5106,1087.51123046875
5107,1089.51123046875
5108,1091.51123046875
5109,1092.51318359375
5110,1001.0120544433594
5111,1003.001953125
5112,1005.001953125
5113,1006.0
5114,1008.0
5115,1010.0
5116,1012.0
5117,1013.001953125
5118,1015.001953125
5119,1017.001953125
5120,1019.001953125
5121,1020.0
5122,1022.0
5123,1024.0
5124,1026.0
5125,1027.001953125
5126,1029.001953125
5127,1031.001953125
5128,1033.001953125
5129,1034.0
5130,1036.0
5131,1038.0
5132,1040.0
5133,1041.001953125
5134,1043.001953125
5135,1045.001953125
5136,1046.0
5137,1048.0
5138,1050.0
5139,1052.0
5140,1053.001953125
5141,1055.001953125
5142,1057.001953125
5143,1059.001953125
5144,1060.0
5145,1062.0
5146,1064.0
5147,1066.0
5148,1067.001953125
5149,1069.001953125
5150,1071.001953125
5151,1073.001953125
5152,1074.0
5153,1076.0
5154,1078.0
5155,1080.0
5156,1081.001953125
5157,1083.007827758789
5158,1085.015640258789
5159,1087.001953125
5160,1089.001953125
5161,1091.007827758789
5162,1092.0
5163,1094.0
5164,1096.0
5165,1010.0164489746094
5166,1012.00634765625
5167,1014.00634765625
5168,1016.00634765625
5169,1017.00439453125
5170,1019.00439453125
5171,1021.00439453125
5172,1023.00439453125
5173,1024.00634765625
5174,1026.012222290039
5175,1028.00634765625
5176,1030.00634765625
5177,1031.00439453125
5178,1033.00439453125
5179,1035.00439453125
5180,1037.00439453125
5181,1038.00634765625
5182,1040.00634765625
5183,1042.00634765625
5184,1044.00634765625
5185,1045.00439453125
5186,1047.00439453125
5187,1049.00439453125
5188,1051.00439453125
5189,1052.00634765625
5190,1054.020034790039
5191,1056.00634765625
5192,1058.012222290039
5193,1059.00439453125
5194,1061.00439453125
5195,1063.00439453125
5196,1065.00439453125
5197,1066.00634765625
5198,1068.00634765625
5199,1070.00634765625
5200,1072.012222290039
5201,1073.00439453125
5202,1075.00439453125
5203,1077.00439453125
5204,1078.00634765625
5205,1080.012222290039
5206,1082.0065841674805
5207,1084.00634765625
5208,1085.00439453125
5209,1087.00439453125
5210,1089.00439453125
5211,1091.00439453125
5212,1092.00634765625
5213,1094.00634765625
5214,1096.00634765625
5215,1098.00634765625
5216,1099.00439453125
5217,1020.490234375
5218,1022.490234375
5219,1024.490234375
5220,1025.4921875
5221,1027.4921875
5222,1029.4921875
5223,1031.4921875
5224,1032.490234375
5225,1034.490234375
5226,1036.490234375
5227,1038.490234375
5228,1039.4921875
5229,1041.498062133789
5230,1043.505874633789
5231,1045.4921875
5232,1046.490234375
5233,1048.490234375
5234,1050.490234375
5235,1052.490234375
5236,1053.4921875
5237,1055.4921875
5238,1057.4921875
5239,1059.4921875
5240,1060.490234375
5241,1062.490234375
5242,1064.490234375
5243,1065.505874633789
5244,1067.4921875
5245,1069.4921875
5246,1071.492202758789
5247,1072.490234375
5248,1074.490234375
5249,1076.490234375
5250,1078.490234375
5251,1079.4921875
5252,1081.498062133789
5253,1083.4921875
5254,1085.4921875
5255,1086.490234375
5256,1088.490234375
5257,1090.490234375
5258,1092.490234375
5259,1093.4921875
5260,1095.505874633789
5261,1097.4921875
5262,1099.4921875
5263,1100.490234375
5264,1027.73974609375
5265,1029.73974609375
5266,1031.73974609375
5267,1032.74169921875
5268,1034.747573852539
5269,1036.755386352539
5270,1038.74169921875
5271,1039.73974609375
5272,1041.73974609375
5273,1043.73974609375
5274,1045.73974609375
5275,1046.74169921875
5276,1048.74169921875
5277,1050.74169921875
5278,1052.74169921875
5279,1053.73974609375
5280,1055.73974609375
5281,1057.73974609375
5282,1058.755386352539
5283,1060.74169921875
5284,1062.74169921875
5285,1064.741714477539
5286,1065.73974609375
5287,1067.73974609375
5288,1069.73974609375
5289,1071.73974609375
5290,1072.74169921875
5291,1074.747573852539
5292,1076.74169921875
5293,1078.74169921875
5294,1079.73974609375
5295,1081.73974609375
5296,1083.73974609375
5297,1085.73974609375
5298,1086.74169921875
5299,1088.755386352539
5300,1090.74169921875
5301,1092.74169921875
5302,1093.73974609375
5303,1095.73974609375
5304,1097.73974609375
5305,1099.73974609375
5306,1100.74169921875
5307,1102.747573852539
5308,1034.7097396850586
5309,1036.6884765625
5310,1037.6865234375
5311,1039.6865234375
5312,1041.6865234375
5313,1043.6865234375
5314,1044.6884765625
5315,1046.6884765625
5316,1048.6884765625
5317,1050.6884765625
5318,1051.6865234375
5319,1053.6865234375
5320,1055.6865234375
5321,1056.702163696289
5322,1058.6884765625
5323,1060.6884765625
5324,1062.688491821289
5325,1063.6865234375
5326,1065.6865234375
5327,1067.6865234375
5328,1069.6865234375
5329,1070.6884765625
5330,1072.694351196289
5331,1074.6884765625
5332,1076.6884765625
5333,1077.6865234375
5334,1079.6865234375
5335,1081.6865234375
5336,1083.6865234375
5337,1084.6884765625
5338,1086.702163696289
5339,1088.6884765625
5340,1090.6884765625
5341,1091.6865234375
5342,1093.6865234375
5343,1095.6865234375
5344,1097.6865234375
5345,1098.6884765625
5346,1100.694351196289
5347,1102.702163696289
5348,1104.6884765625
5349,1105.6865234375
5350,1042.564453125
5351,1044.564453125
5352,1046.564453125
5353,1047.56640625
5354,1049.56640625
5355,1051.56640625
5356,1053.56640625
5357,1054.564453125
5358,1056.564453125
5359,1058.564453125
5360,1059.580093383789
5361,1061.56640625
5362,1063.56640625
5363,1065.566421508789
5364,1066.564453125
5365,1068.564453125
5366,1070.564453125
5367,1072.564453125
5368,1073.56640625
5369,1075.572280883789
5370,1077.56640625
5371,1079.56640625
5372,1080.564453125
5373,1082.564453125
5374,1084.564453125
5375,1086.564453125
5376,1087.56640625
5377,1089.580093383789
5378,1091.56640625
5379,1093.56640625
5380,1094.564453125
5381,1096.564453125
5382,1098.564453125
5383,1100.564453125
5384,1101.56640625
5385,1103.572280883789
5386,1105.580093383789
5387,1046.8391189575195
5388,1047.82958984375
5389,1049.82958984375
5390,1051.82958984375
5391,1053.82958984375
5392,1054.83154296875
5393,1056.83154296875
5394,1058.83154296875
5395,1060.83154296875
5396,1061.82958984375
5397,1063.82958984375
5398,1065.82958984375
5399,1066.845230102539
5400,1068.83154296875
5401,1070.83154296875
5402,1072.831558227539
5403,1073.82958984375
5404,1075.82958984375
5405,1077.82958984375
5406,1079.82958984375
5407,1080.83154296875
5408,1082.837417602539
5409,1084.83154296875
5410,1086.83154296875
5411,1087.82958984375
5412,1089.82958984375
5413,1091.82958984375
5414,1093.82958984375
5415,1094.83154296875
5416,1096.845230102539
5417,1098.83154296875
5418,1100.83154296875
5419,1101.82958984375
5420,1103.82958984375
5421,1105.82958984375
5422,1107.82958984375
5423,1108.83154296875
5424,1053.3449935913086
5425,1055.345230102539
5426,1057.33154296875
5427,1058.32958984375
5428,1060.32958984375
5429,1062.32958984375
5430,1064.32958984375
5431,1065.33154296875
5432,1067.33154296875
5433,1069.33154296875
5434,1071.33154296875
5435,1072.32958984375
5436,1074.32958984375
5437,1076.32958984375
5438,1077.345230102539
5439,1079.33154296875
5440,1081.33154296875
5441,1083.331558227539
5442,1084.32958984375
5443,1086.32958984375
5444,1088.32958984375
5445,1090.32958984375
5446,1091.33154296875
5447,1093.337417602539
5448,1095.33154296875
5449,1097.33154296875
5450,1098.32958984375
5451,1100.32958984375
