Total Objects,Time (ms)
5004,3
5005,2
5006,3
5007,3
5008,6
5009,2
5010,3
5011,4
5012,3
5013,5
5014,3
5015,6
5016,2
5017,3
5018,5
5019,4
5020,4
5021,2
5022,3
5023,5
5024,3
5025,2
5026,6
5027,2
5028,4
5029,3
5030,3
5031,4
5032,5
5033,4
5034,3
5035,6
5036,3
5037,4
5038,4
5039,4
5040,7
5041,2
5042,3
5043,5
5044,5
5045,4
5046,4
5047,5
5048,4
5049,3
5050,4
5051,3
5052,8
5053,3
5054,4
5055,6
5056,2
5057,3
5058,5
5059,4
5060,5
5061,5
5062,3
5063,5
5064,4
5065,3
5066,4
5067,3
5068,5
5069,3
5070,4
5071,4
5072,3
5073,5
5074,3
5075,6
5076,3
5077,3
5078,5
5079,4
5080,2
5081,3
5082,3
5083,3
5084,3
5085,3
5086,3
5087,2
5088,2
5089,4
5090,2
5091,2
5092,4
5093,4
5094,3
5095,7
5096,2
5097,2
5098,3
5099,5
5100,3
5101,4
5102,6
5103,3
5104,5
5105,4
5106,4
5107,3
5108,4
5109,4
5110,4
5111,3
5112,5
5113,6
5114,3
5115,4
5116,6
5117,3
5118,2
5119,3
5120,3
5121,2
5122,6
5123,3
5124,4
5125,2
5126,4
5127,7
5128,3
5129,5
5130,5
5131,3
5132,3
5133,4
5134,3
5135,2
5136,3
5137,2
5138,3
5139,5
5140,4
5141,3
5142,5
5143,4
5144,3
5145,7
5146,3
5147,7
5148,3
5149,6
5150,5
5151,3
5152,4
5153,4
5154,4
5155,6
5156,4
5157,6
5158,2
5159,6
5160,4
5161,4
5162,7
5163,7
5164,8
5165,7
5166,6
5167,5
5168,6
5169,8
5170,6
5171,5
5172,3
5173,5
5174,6
5175,6
5176,4
5177,7
5178,7
5179,7
5180,5
5181,3
5182,2
5183,5
5184,3
5185,6
5186,4
5187,2
5188,7
5189,2
5190,6
5191,2
5192,3
5193,4
5194,3
5195,5
5196,4
5197,3
5198,7
5199,3
5200,3
5201,3
5202,2
5203,5
5204,3
5205,5
5206,4
5207,4
5208,4
5209,3
5210,4
5211,2
5212,3
5213,6
5214,10
5215,5
5216,8
5217,5
5218,6
5219,6
5220,5
5221,6
5222,4
5223,7
5224,5
5225,6
5226,9
5227,6
5228,6
5229,11
5230,4
5231,6
5232,3
5233,6
5234,5
5235,5
5236,7
5237,5
5238,6
5239,7
5240,5
5241,8
5242,6
5243,7
5244,5
5245,6
5246,8
5247,4
5248,6
5249,3
5250,6
5251,3
5252,6
5253,3
5254,5
5255,10
5256,3
5257,4
5258,4
5259,3
5260,3
5261,2
5262,7
5263,4
5264,3
5265,6
5266,2
5267,5
5268,3
5269,2
5270,9
5271,3
5272,5
5273,5
5274,4
5275,3
5276,4
5277,5
5278,3
5279,7
5280,3
5281,4
5282,5
5283,3
5284,5
5285,2
5286,4
5287,8
5288,3
5289,8
5290,3
5291,9
5292,4
5293,6
5294,3
5295,4
5296,6
5297,3
5298,7
5299,3
5300,3
5301,7
5302,4
5303,3
5304,7
5305,5
5306,3
5307,6
5308,3
5309,3
5310,4
5311,6
5312,4
5313,3
5314,5
5315,5
5316,7
5317,5
5318,3
5319,9
5320,4
5321,3
5322,4
5323,4
5324,2
5325,3
5326,3
5327,5
5328,3
5329,3
5330,5
5331,2
5332,5
5333,4
5334,4
5335,3
5336,5
5337,3
5338,2
5339,3
5340,5
5341,2
5342,4
5343,8
5344,3
5345,4
5346,2
5347,2
5348,4
5349,3
5350,7
5351,4
5352,2
5353,6
5354,4
5355,7
5356,2
5357,3
5358,7
5359,3
5360,4
5361,2
5362,3
5363,6
5364,4
5365,4
5366,2
5367,4
5368,3
5369,3
5370,5
5371,3
5372,7
5373,4
5374,3
5375,3
5376,3
5377,5
5378,3
5379,16
5380,7
5381,5
5382,3
5383,7
5384,6
5385,5
5386,6
5387,20
5388,5
5389,8
5390,7
5391,4
5392,4
5393,11
5394,8
5395,4
5396,3
5397,4
5398,5
5399,2
5400,7
5401,4
5402,2
5403,3
5404,2
5405,4
5406,3
5407,3
5408,6
5409,3
5410,3
5411,7
5412,4
5413,3
5414,4
5415,4
5416,3
5417,3
5418,3
5419,3
5420,4
5421,4
5422,3
5423,3
5424,4
5425,4
5426,3
5427,4
5428,2
5429,3
5430,4
5431,3
5432,4
5433,2
5434,7
5435,3
5436,7
5437,3
5438,4
5439,4
5440,4
5441,5
5442,3
5443,5
5444,5
5445,3
5446,6
5447,4
5448,4
5449,5
5450,3
5451,5
5452,4
5453,2
5454,5
5455,2
5456,5
5457,15
5458,5
5459,4
5460,4
5461,5
5462,4
5463,3
5464,3
5465,3
5466,5
5467,4
5468,3
5469,2
5470,5
5471,3
5472,4
5473,3
5474,5
5475,5
5476,3
5477,5
5478,4
5479,3
5480,7
5481,3
5482,5
5483,6
5484,3
5485,4
5486,6
5487,6
5488,4
5489,2
5490,5
5491,3
5492,3
5493,3
5494,4
5495,8
5496,2
5497,3
5498,6
5499,4
5500,4
5501,3
5502,3
5503,6
5504,3
5505,5
5506,3
5507,2
5508,4
5509,2
5510,5
5511,3
5512,4
5513,4
5514,2
5515,2
5516,10
5517,3
5518,2
5519,3
5520,3
5521,7
5522,3
5523,3
5524,4
5525,3
5526,7
5527,3
5528,3
5529,9
5530,3
5531,5
5532,4
5533,3
5534,4
5535,4
5536,4
5537,3
5538,3
5539,6
5540,3
5541,6
5542,3
5543,2
5544,5
5545,2
5546,3
5547,7
5548,3
5549,5
5550,4
5551,3
5552,5
5553,3
5554,2
5555,3
5556,4
5557,4
5558,4
5559,3
5560,2
5561,4
5562,8
5563,2
5564,3
5565,5
5566,4
5567,5
5568,3
5569,6
5570,3
5571,3
5572,3
5573,3
5574,3
5575,3
5576,3
5577,3
5578,5
5579,5
5580,5
5581,11
5582,4
5583,3
5584,3
5585,7
5586,6
5587,2
5588,5
5589,3
5590,4
5591,6
5592,3
5593,13
5594,2
5595,6
5596,4
5597,5
5598,5
5599,4
5600,4
5601,4
5602,5
5603,5
5604,3
5605,6
5606,3
5607,6
5608,4
5609,4
5610,5
5611,3
5612,5
5613,2
5614,7
5615,4
5616,4
5617,6
5618,5
5619,2
5620,5
5621,3
5622,4
5623,2
5624,4
5625,5
5626,4
5627,7
5628,8
5629,12
5630,5
5631,4
5632,12
5633,5
5634,13
5635,15
5636,5
5637,10
5638,14
5639,6
5640,9
5641,3
5642,4
5643,7
5644,4
5645,6
5646,4
5647,3
5648,6
5649,11
5650,5
5651,7
5652,7
5653,8
5654,6
5655,7
5656,9
5657,5
5658,13
5659,9
5660,13
5661,8
5662,8
5663,14
5664,9
5665,8
5666,5
5667,3
5668,3
5669,8
5670,2
5671,2
5672,3
5673,3
5674,2
5675,6
5676,4
5677,8
5678,3
5679,4
5680,2
5681,4
5682,3
5683,3
5684,3
5685,4
5686,6
5687,7
5688,2
5689,4
5690,6
5691,2
5692,6
5693,4
5694,4
5695,4
5696,4
5697,6
5698,4
5699,11
5700,5
5701,4
5702,2
5703,5
5704,8
5705,5
5706,4
5707,4
5708,6
5709,3
5710,5
5711,5
5712,4
5713,6
5714,4
5715,3
5716,6
5717,4
5718,3
5719,4
5720,2
5721,5
5722,5
5723,2
5724,3
5725,5
5726,2
5727,2
5728,5
5729,4
5730,5
5731,6
5732,3
5733,4
5734,3
5735,7
5736,5
5737,10
5738,3
5739,4
5740,4
5741,3
5742,6
5743,11
5744,4
5745,9
5746,7
5747,5
5748,2
5749,6
5750,3
5751,8
5752,4
5753,6
5754,4
5755,5
5756,3
5757,6
5758,5
5759,4
5760,4
5761,5
5762,3
5763,8
5764,5
5765,9
5766,5
5767,4
5768,6
5769,3
5770,3
5771,10
5772,4
5773,6
5774,3
5775,3
5776,3
5777,4
5778,4
5779,3
5780,5
5781,4
5782,4
5783,8
5784,4
5785,8
5786,2
5787,5
5788,5
5789,4
5790,4
5791,4
5792,4
5793,5
5794,5
5795,8
5796,6
5797,7
5798,4
5799,3
5800,2
5801,5
5802,3
5803,3
5804,6
5805,5
5806,5
5807,5
5808,4
5809,3
5810,2
5811,3
5812,4
5813,2
5814,5
5815,3
5816,7
5817,3
5818,2
5819,4
5820,4
5821,7
5822,3
5823,4
5824,6
5825,4
5826,6
5827,4
5828,3
5829,9
5830,4
5831,5
5832,4
5833,3
5834,4
5835,6
5836,2
5837,4
5838,5
5839,4
5840,5
5841,3
5842,6
5843,3
5844,5
5845,4
5846,5
5847,3
5848,4
5849,7
5850,4
5851,4
5852,2
5853,3
5854,5
5855,4
5856,3
5857,4
5858,4
5859,7
5860,7
5861,6
5862,9
5863,6
5864,9
5865,21
5866,7
5867,8
5868,9
5869,8
5870,12
5871,6
5872,5
5873,5
5874,12
5875,13
5876,6
5877,8
5878,3
5879,2
5880,5
5881,4
5882,4
5883,5
5884,6
5885,3
5886,9
5887,2
5888,5
5889,5
5890,6
5891,3
5892,3
5893,6
5894,8
5895,2
5896,4
5897,3
5898,4
5899,6
5900,7
5901,2
5902,3
5903,4
5904,4
5905,5
5906,3
5907,5
5908,3
5909,6
5910,3
5911,4
5912,4
5913,4
5914,3
5915,7
5916,5
5917,3
5918,4
5919,4
5920,7
5921,4
5922,7
5923,3
5924,3
5925,5
5926,6
5927,4
5928,3
5929,5
5930,9
5931,6
5932,5
5933,8
5934,5
5935,7
5936,4
5937,4
5938,6
5939,3
5940,5
5941,7
5942,3
5943,6
5944,5
5945,4
5946,4
5947,4
5948,4
5949,2
5950,8
5951,3
5952,5
5953,5
5954,6
5955,6
5956,3
5957,4
5958,4
5959,3
5960,4
5961,3
5962,3
5963,5
5964,4
5965,6
5966,2
5967,4
5968,4
5969,4
5970,2
5971,10
5972,3
5973,4
5974,2
5975,6
5976,3
5977,3
5978,4
5979,4
5980,7
5981,4
5982,5
5983,5
5984,3
5985,6
5986,4
5987,3
5988,8
5989,3
5990,6
5991,4
5992,6
5993,4
5994,6
5995,2
5996,3
5997,3
5998,4
5999,5
6000,3
6001,4
6002,4
6003,4
