Total Objects,Memory Usage (MB)
19,41.598060607910156
20,43.59825134277344
21,45.59803009033203
22,47.59812927246094
23,49.611732482910156
24,52.49291229248047
25,54.49291229248047
26,56.49302673339844
27,58.701171875
28,60.701171875
29,63.598052978515625
30,65.59801483154297
31,67.61173248291016
32,30.05328369140625
33,32.05328369140625
34,34.05328369140625
35,37.05523681640625
36,39.05523681640625
37,41.05523681640625
38,43.05523681640625
39,45.05523681640625
40,47.05523681640625
41,50.05328369140625
42,52.05328369140625
43,54.05328369140625
44,57.05523681640625
45,59.05523681640625
46,61.05523681640625
47,63.05523681640625
48,65.05523681640625
49,67.06892395019531
50,69.05523681640625
51,72.05328369140625
52,74.05328369140625
53,76.05328369140625
54,78.05328369140625
55,80.05328369140625
56,82.05328369140625
57,31.761634826660156
58,33.865562438964844
59,36.067115783691406
60,38.20896911621094
61,40.34992218017578
62,42.50566101074219
63,44.64622497558594
64,46.64691162109375
65,48.83160400390625
66,50.99724578857422
67,53.39723205566406
68,55.55339813232422
69,57.7103271484375
70,59.875213623046875
71,62.02189636230469
72,64.0450439453125
73,66.19153594970703
74,68.3339614868164
75,70.49764251708984
76,72.53506469726562
77,38.18621826171875
78,40.533203125
79,42.53125
80,44.53125
81,47.2852783203125
82,49.2794189453125
83,51.27946472167969
84,53.27940368652344
85,55.279640197753906
86,57.2794189453125
87,60.03346252441406
88,62.039306640625
89,64.02564239501953
90,66.02571868896484
91,68.03932189941406
92,70.02611541748047
