Total Objects,Time (ms)
1004,2
1005,4
1006,3
1007,4
1008,2
1009,3
1010,3
1011,4
1012,2
1013,5
1014,10
1015,4
1016,3
1017,3
1018,2
1019,3
1020,2
1021,2
1022,3
1023,2
1024,3
1025,2
1026,4
1027,3
1028,3
1029,2
1030,2
1031,3
1032,5
1033,3
1034,2
1035,5
1036,3
1037,4
1038,3
1039,2
1040,4
1041,3
1042,2
1043,5
1044,6
1045,6
1046,3
1047,5
1048,3
1049,4
1050,2
1051,4
1052,2
1053,3
1054,2
1055,3
1056,2
1057,4
1058,2
1059,4
1060,2
1061,5
1062,2
1063,3
1064,2
1065,4
1066,3
1067,3
1068,2
1069,4
1070,2
1071,3
1072,3
1073,3
1074,2
1075,3
1076,3
1077,5
1078,4
1079,6
1080,5
1081,5
1082,3
1083,2
1084,5
1085,5
1086,2
1087,2
1088,5
1089,2
1090,4
1091,4
1092,4
1093,1
1094,4
1095,5
1096,2
1097,4
1098,3
1099,4
1100,5
1101,3
1102,3
1103,2
1104,3
1105,3
1106,2
1107,4
1108,4
1109,5
1110,5
1111,4
1112,6
1113,4
1114,4
1115,5
1116,7
1117,4
1118,7
1119,5
1120,4
1121,6
1122,5
1123,3
1124,3
1125,2
1126,3
1127,2
1128,3
1129,3
1130,2
1131,7
1132,2
1133,2
1134,4
1135,3
1136,3
1137,2
1138,2
1139,4
1140,4
1141,4
1142,4
1143,3
1144,2
1145,4
1146,4
1147,3
1148,3
1149,3
1150,4
1151,3
1152,3
1153,3
1154,4
1155,4
1156,3
1157,7
1158,6
1159,5
1160,7
1161,4
1162,6
1163,3
1164,3
1165,5
1166,3
1167,3
1168,3
1169,2
1170,1
1171,3
1172,3
1173,3
1174,4
1175,3
1176,3
1177,2
1178,4
1179,3
1180,3
1181,2
1182,4
1183,3
1184,2
1185,3
1186,3
1187,3
1188,4
1189,3
1190,4
1191,2
1192,3
1193,2
1194,3
1195,2
1196,4
1197,3
1198,4
1199,3
1200,4
1201,3
1202,4
1203,3
1204,3
1205,2
1206,4
1207,2
1208,3
1209,2
1210,4
1211,2
1212,3
1213,2
1214,3
1215,3
1216,4
1217,4
1218,3
1219,6
1220,5
1221,4
1222,3
1223,10
1224,9
1225,4
1226,6
1227,5
1228,4
1229,3
1230,2
1231,5
1232,3
1233,6
1234,3
1235,3
1236,4
1237,3
1238,2
1239,3
1240,3
1241,4
1242,2
1243,3
