Total Objects,Time (ms)
4,20
5,7
6,31
7,5
8,4
9,4
10,7
11,4
12,4
13,10
14,5
15,7
16,4
17,6
18,4
19,7
20,5
21,11
22,17
23,7
24,9
25,9
26,3
27,3
28,6
29,4
30,4
31,4
32,4
33,4
34,3
35,4
36,3
37,5
38,4
39,3
40,3
41,3
42,3
43,6
44,4
45,3
46,4
47,3
48,4
49,8
50,5
51,3
52,6
53,3
54,4
55,3
56,3
57,4
58,4
59,3
60,4
61,3
62,4
63,3
64,3
65,6
66,3
67,4
68,3
69,3
70,4
71,3
72,4
73,4
74,3
75,3
76,4
77,3
78,3
79,3
80,3
81,3
82,6
83,3
84,4
85,3
86,2
87,7
88,5
89,3
90,4
91,6
92,2
93,3
94,3
95,3
96,2
97,4
98,3
99,3
100,2
101,3
102,2
103,3
104,3
105,4
106,3
107,3
108,4
109,2
110,3
111,3
112,3
113,3
114,2
115,3
116,4
117,3
118,5
119,4
120,3
121,4
122,4
123,3
124,2
125,4
126,4
127,6
128,4
129,3
130,4
131,4
132,3
133,4
134,3
135,12
136,4
137,3
138,3
139,4
140,3
141,4
142,3
143,3
144,5
145,3
146,4
147,3
148,3
149,3
150,3
151,5
152,2
153,2
154,6
155,2
156,5
157,3
158,3
159,7
160,3
161,4
162,2
163,3
164,4
165,3
166,4
167,2
168,4
169,2
170,5
171,2
172,4
173,3
174,2
175,3
176,4
177,3
178,2
179,4
180,3
181,4
182,3
183,2
184,6
185,2
186,5
187,4
188,2
189,4
190,3
191,8
192,5
193,2
194,4
195,3
196,5
197,3
198,3
199,23
200,3
201,3
202,3
203,4
204,2
205,5
206,2
207,2
208,4
209,2
210,4
211,3
212,3
213,4
214,3
215,5
216,3
217,10
218,3
219,2
220,2
221,2
222,2
223,4
224,2
225,3
226,3
227,3
228,5
229,2
230,5
231,2
232,2
233,5
234,3
235,6
236,2
237,2
238,6
239,3
240,5
241,3
242,3
243,3
244,4
245,4
246,3
247,3
248,5
249,3
250,6
251,3
252,4
253,3
254,2
255,4
256,2
257,6
258,2
259,3
260,7
261,4
262,3
263,3
264,3
265,2
266,3
267,3
268,3
269,3
270,4
271,4
272,2
273,4
274,3
275,4
276,2
277,2
278,6
279,3
280,3
281,4
282,7
283,2
284,3
285,5
286,4
287,7
288,4
289,3
290,4
291,3
292,4
293,11
294,2
295,3
296,5
297,3
298,5
299,2
300,3
301,4
302,3
303,5
304,2
305,3
306,4
307,2
308,5
309,5
310,2
311,3
312,3
313,3
314,5
315,4
316,5
317,4
318,2
319,4
320,2
321,2
322,3
323,2
324,3
325,2
326,3
327,3
328,3
329,3
330,2
331,2
332,4
333,2
334,2
335,5
336,2
337,3
338,2
339,6
340,3
341,3
342,5
343,3
344,4
345,3
346,3
347,5
348,3
349,2
350,2
351,2
352,2
353,4
354,4
355,3
356,5
357,3
358,3
359,7
360,2
361,5
362,2
363,3
364,3
365,2
366,5
367,3
368,4
369,2
370,3
371,4
372,3
373,3
374,3
375,2
376,4
377,2
378,4
379,2
380,3
381,2
382,2
383,7
384,2
385,5
386,4
387,3
388,4
389,2
390,3
391,2
392,2
393,3
394,2
395,5
396,2
397,2
398,4
399,4
400,4
401,2
402,2
403,6
404,2
405,6
406,2
407,3
408,2
409,3
410,2
411,4
412,2
413,4
414,4
415,3
416,3
417,2
418,5
419,3
420,4
421,3
422,2
423,3
424,3
425,2
426,4
427,2
428,4
429,3
430,2
431,4
432,4
433,3
434,3
435,2
436,3
437,3
438,2
439,3
440,2
441,5
442,2
443,3
444,4
445,2
446,4
447,3
448,2
449,4
450,2
451,4
452,5
453,3
454,2
455,2
456,3
457,3
458,3
459,4
460,1
461,5
462,3
463,3
464,2
465,4
466,3
467,3
468,3
469,3
470,3
471,4
472,2
473,4
474,2
475,2
476,3
477,2
478,4
479,3
480,2
481,7
482,3
483,1
484,4
485,1
486,3
487,2
488,2
489,4
490,3
491,5
492,3
493,2
494,6
495,3
496,2
497,2
498,3
499,2
500,4
501,3
502,3
503,2
504,3
505,3
506,4
507,2
508,8
509,2
510,3
511,3
512,2
513,4
514,2
515,2
516,4
517,2
518,5
519,2
520,2
521,2
522,4
523,2
524,2
525,4
526,2
527,2
528,2
529,1
530,3
531,2
532,3
533,2
534,5
535,5
536,2
537,3
538,4
539,3
540,2
541,3
542,2
543,3
544,2
545,3
546,3
547,2
548,4
549,2
550,3
551,4
552,3
553,2
554,4
555,2
556,3
557,3
558,2
559,3
560,3
561,2
562,4
563,2
564,5
565,3
566,5
567,2
568,2
569,4
570,2
571,4
572,2
573,2
574,4
575,2
576,4
577,2
578,2
579,3
580,3
581,5
582,2
583,2
584,5
585,3
586,3
587,2
588,3
589,2
590,3
591,5
592,2
593,2
594,4
595,2
596,3
597,2
598,2
599,3
600,2
601,3
602,3
603,3
604,4
605,2
606,3
607,3
608,2
609,5
610,2
611,2
612,3
613,2
614,3
615,3
616,4
617,3
618,2
619,3
620,3
621,2
622,4
623,2
624,4
625,5
626,2
627,3
628,3
629,3
630,2
631,4
632,2
633,3
634,2
635,2
636,3
637,2
638,3
639,5
640,3
641,4
642,2
643,3
644,3
645,3
646,2
647,2
648,4
649,3
650,3
651,2
652,3
653,2
654,6
655,2
656,2
657,3
658,2
659,5
660,2
661,4
662,3
663,2
664,4
665,2
666,3
667,2
668,2
669,4
670,2
671,3
672,3
673,3
674,3
675,2
676,1
677,3
678,2
679,3
680,2
681,3
682,3
683,2
684,3
685,2
686,2
687,3
688,2
689,2
690,7
691,3
692,2
693,3
694,2
695,3
696,3
697,3
698,3
699,2
700,2
701,5
702,2
703,4
704,2
705,2
706,3
707,2
708,2
709,2
710,3
711,3
712,3
713,2
714,4
715,3
716,3
717,3
718,5
719,3
720,2
721,3
722,4
723,2
724,3
725,2
726,3
727,2
728,2
729,6
730,2
731,2
732,2
733,2
734,3
735,3
736,5
737,4
738,2
739,2
740,3
741,3
742,2
743,4
744,2
745,3
746,3
747,2
748,2
749,3
750,3
751,3
752,2
753,4
754,2
755,3
756,1
757,2
758,5
759,2
760,2
761,2
762,2
763,3
764,2
765,3
766,3
767,2
768,2
769,2
770,4
771,2
772,2
773,2
774,2
775,3
776,3
777,2
778,4
779,2
780,4
781,2
782,3
783,2
784,4
785,2
786,3
787,2
788,4
789,6
790,3
791,2
792,3
793,2
794,2
795,2
796,3
797,2
798,2
799,4
800,4
801,3
802,4
803,4
804,3
805,2
806,3
807,2
808,3
809,2
810,2
811,3
812,2
813,3
814,2
815,2
816,3
817,3
818,3
819,2
820,3
821,2
822,3
823,3
824,3
825,2
826,4
827,2
828,3
829,2
830,3
831,2
832,3
833,2
834,4
835,2
836,3
837,2
838,2
839,3
840,3
841,3
842,3
843,4
844,3
845,2
846,2
847,2
848,2
849,2
850,4
851,3
852,2
853,3
854,2
855,3
856,3
857,2
858,1
859,2
860,3
861,2
862,3
863,2
864,2
865,2
866,4
867,2
868,2
869,3
870,3
871,4
872,2
873,2
874,2
875,3
876,2
877,2
878,2
879,2
880,4
881,2
882,4
883,2
884,4
885,2
886,4
887,2
888,4
889,2
890,3
891,2
892,3
893,2
894,3
895,2
896,3
897,2
898,4
899,2
900,3
901,2
902,2
903,2
904,4
905,3
906,3
907,2
908,4
909,2
910,5
911,3
912,3
913,2
914,4
915,2
916,3
917,2
918,3
919,3
920,4
921,2
922,3
923,2
924,3
925,3
926,3
927,2
928,4
929,2
930,2
931,4
932,3
933,3
934,3
935,3
936,3
937,3
938,3
939,3
940,3
941,5
942,2
943,2
944,3
945,2
946,3
947,2
948,2
949,2
950,3
951,3
952,2
953,2
954,4
955,2
956,3
957,2
958,4
959,2
960,3
961,1
962,2
963,2
964,3
965,2
966,3
967,3
968,5
969,5
970,4
971,2
972,3
973,3
974,2
975,5
976,3
977,3
978,2
979,3
980,1
981,3
982,2
983,3
984,2
985,2
986,2
987,3
988,2
989,3
990,2
991,3
992,2
993,5
994,3
995,3
996,2
997,2
998,2
999,2
1000,3
1001,2
1002,2
1003,2
