Total Objects,Memory Usage (MB)
2004,493.65628814697266
2005,495.2331085205078
2006,496.7766799926758
2007,498.3253860473633
2008,499.64894104003906
2009,501.20165252685547
2010,502.7630081176758
2011,504.32444763183594
2012,505.8838806152344
2013,488.19864654541016
2014,489.75572204589844
2015,491.3044738769531
2016,492.8648910522461
2017,494.42440032958984
2018,496.1961441040039
2019,497.7732238769531
2020,499.31903076171875
2021,500.86511993408203
2022,502.1807403564453
2023,503.7419738769531
2024,505.30347442626953
2025,506.8648910522461
2026,508.42440032958984
2027,490.63043212890625
2028,492.1872329711914
2029,493.7356948852539
2030,495.29608154296875
2031,497.2960510253906
2032,498.62781524658203
2033,500.1745147705078
2034,501.7350082397461
2035,503.2962875366211
2036,504.85540771484375
2037,506.6180877685547
2038,508.17350006103516
2039,509.73474884033203
2040,491.6077575683594
2041,492.9317932128906
2042,494.5041961669922
2043,496.4826965332031
2044,498.04418182373047
2045,499.60546112060547
2046,500.9373779296875
2047,502.4964065551758
2048,504.0440902709961
2049,505.60570526123047
2050,507.16455078125
2051,508.9274673461914
2052,510.49095916748047
2053,512.0440292358398
2054,493.9963607788086
2055,495.32875061035156
2056,496.8869400024414
2057,498.4481430053711
2058,496.4325485229492
2059,497.99395751953125
2060,499.3103790283203
2061,500.88511657714844
2062,502.4325485229492
2063,503.99378204345703
2064,505.55297088623047
2065,507.3121109008789
2066,508.8715057373047
2067,510.4384002685547
2068,511.9937210083008
2069,513.3101501464844
2070,514.8873062133789
2071,516.4462356567383
2072,518.007438659668
2073,519.9938125610352
2074,521.3260726928711
2075,522.8715515136719
2076,524.4325180053711
2077,494.4902877807617
2078,495.80517578125
2079,497.80517578125
2080,499.1633834838867
2081,500.48523712158203
2082,502.4852600097656
2083,503.80517578125
2084,505.1633834838867
2085,507.17716217041016
2086,508.4852294921875
2087,509.80517578125
2088,511.80517578125
2089,513.1789627075195
2090,515.163459777832
2091,516.4853515625
2092,517.80517578125
2093,519.80517578125
2094,521.1633529663086
2095,522.4911117553711
2096,524.4852676391602
2097,525.80517578125
2098,527.1692733764648
2099,492.2665481567383
2100,493.58560943603516
2101,494.9052734375
2102,496.9052734375
2103,498.2779006958008
2104,499.5856704711914
2105,501.58563232421875
2106,502.9052734375
2107,504.9052734375
2108,506.2640914916992
2109,507.6012191772461
2110,509.5856018066406
2111,510.9052734375
2112,512.2699661254883
2113,514.2661666870117
2114,515.5856170654297
2115,516.9052734375
2116,518.9052734375
2117,520.2640151977539
2118,521.5856018066406
2119,523.5993118286133
2120,524.9052734375
2121,526.2698593139648
2122,528.2639846801758
2123,529.5856018066406
2124,531.5857162475586
2125,532.9052734375
2126,534.2932739257812
2127,536.2639770507812
2128,537.5856323242188
2129,538.9052734375
2130,540.9052734375
2131,542.2640151977539
2132,543.5856018066406
2133,545.5856246948242
2134,546.9052734375
2135,548.2639923095703
2136,550.2797393798828
2137,551.5914688110352
2138,553.5857162475586
2139,554.9052734375
2140,556.2796401977539
2141,558.2639770507812
2142,559.5856018066406
2143,560.9052734375
2144,562.9052734375
2145,564.2642440795898
2146,565.5856552124023
2147,567.5856170654297
2148,568.9052734375
2149,570.2639770507812
2150,572.2779541015625
2151,573.5856094360352
2152,574.9052734375
2153,576.9052734375
2154,578.2796096801758
2155,580.2642517089844
2156,581.5858383178711
2157,582.9052734375
2158,584.9052734375
2159,586.2639923095703
2160,587.5914764404297
2161,589.5856094360352
2162,590.9052734375
2163,592.2698822021484
2164,594.2639923095703
2165,595.5856246948242
2166,596.9052734375
2167,598.9052734375
2168,600.2639770507812
2169,601.5856018066406
2170,603.5856018066406
2171,604.9052734375
2172,606.9052734375
2173,608.2899017333984
2174,609.5914764404297
2175,611.5856094360352
2176,612.9052734375
2177,614.2698516845703
2178,616.2641220092773
2179,617.5856094360352
2180,618.9052734375
2181,620.9052734375
2182,622.264045715332
2183,623.5856018066406
2184,625.5856018066406
2185,626.9052734375
2186,628.9052734375
2187,630.2642135620117
2188,631.6012191772461
2189,633.5856018066406
2190,634.9052734375
2191,636.2699661254883
2192,638.2661514282227
2193,639.5857925415039
2194,640.9052734375
2195,642.9052734375
2196,644.2639770507812
2197,645.5856552124023
2198,647.5995254516602
2199,648.9052734375
2200,650.2698593139648
2201,652.2639770507812
2202,653.5856094360352
2203,655.5857162475586
2204,656.9052734375
2205,658.2932739257812
2206,660.264045715332
2207,661.5860824584961
2208,662.9052734375
2209,664.9052734375
2210,666.2640075683594
2211,667.5856857299805
2212,669.5857162475586
2213,670.9052734375
2214,672.2639694213867
2215,674.2776947021484
2216,519.2856750488281
2217,521.2568359375
2218,522.2548828125
2219,524.2548828125
2220,525.2568359375
2221,527.2568359375
2222,528.2548828125
2223,530.2548828125
2224,532.2548828125
2225,533.2568359375
2226,535.2568359375
2227,536.2548828125
2228,538.2548828125
2229,539.2568359375
2230,541.2568359375
2231,542.2548828125
2232,544.2548828125
2233,546.2548828125
2234,547.2568359375
2235,549.2568359375
2236,550.2548828125
2237,552.2548828125
2238,553.2568359375
2239,555.2568359375
2240,557.2568359375
2241,558.2548828125
2242,560.2548828125
2243,561.2568359375
2244,563.2568359375
2245,564.2548828125
2246,566.2548828125
2247,568.2548828125
2248,569.2568359375
2249,571.2568359375
2250,572.2548828125
2251,574.2548828125
2252,575.2568359375
2253,577.2568359375
2254,579.2568359375
2255,580.2548828125
2256,582.2548828125
2257,583.2568359375
2258,585.2568359375
2259,586.2548828125
2260,588.2548828125
2261,590.2548828125
2262,591.2568359375
2263,593.2568359375
2264,594.2548828125
2265,596.2548828125
2266,597.2568359375
2267,599.2568359375
2268,600.2548828125
2269,602.2548828125
2270,604.2548828125
2271,605.2568359375
2272,607.2568359375
2273,608.2548828125
2274,610.2548828125
2275,611.2568359375
2276,613.2568359375
2277,615.2568359375
2278,616.2548828125
2279,618.2548828125
2280,619.2568359375
2281,621.2568359375
2282,622.2548828125
2283,624.2548828125
2284,626.2548828125
2285,627.2568359375
2286,629.2568359375
2287,630.2548828125
2288,632.2548828125
2289,633.2568359375
2290,635.2568359375
2291,637.2568359375
2292,638.2548828125
2293,640.2548828125
2294,641.2568359375
2295,643.2568359375
2296,644.2548828125
2297,646.2548828125
2298,648.2548828125
2299,649.2568359375
2300,651.2568359375
2301,652.2548828125
2302,654.2548828125
2303,655.2568359375
2304,657.2568359375
2305,658.2548828125
2306,660.2548828125
2307,662.2548828125
2308,663.2568359375
2309,665.2568359375
2310,666.2548828125
2311,668.2548828125
2312,669.2568359375
2313,671.2568359375
2314,540.3373336791992
2315,541.32275390625
2316,543.32275390625
2317,544.32470703125
2318,546.32470703125
2319,547.32275390625
2320,549.32275390625
2321,551.32275390625
2322,552.32470703125
2323,554.32470703125
2324,555.32275390625
2325,557.32275390625
2326,558.32470703125
2327,560.32470703125
2328,562.32470703125
2329,563.32275390625
2330,565.32275390625
2331,566.32470703125
2332,568.32470703125
2333,569.32275390625
2334,571.32275390625
2335,573.32275390625
2336,574.32470703125
2337,576.32470703125
2338,577.32275390625
2339,579.32275390625
2340,580.32470703125
2341,582.32470703125
2342,583.32275390625
2343,585.32275390625
2344,587.32275390625
2345,588.32470703125
2346,590.32470703125
2347,591.32275390625
2348,593.32275390625
2349,594.32470703125
2350,596.32470703125
2351,598.32470703125
2352,599.32275390625
2353,601.32275390625
2354,602.32470703125
2355,604.32470703125
2356,605.32275390625
2357,607.32275390625
2358,609.32275390625
2359,610.32470703125
2360,612.32470703125
2361,613.32275390625
2362,615.32275390625
2363,616.32470703125
2364,618.32470703125
2365,620.32470703125
2366,621.32275390625
2367,623.32275390625
2368,624.32470703125
2369,626.32470703125
2370,627.32275390625
2371,629.32275390625
2372,631.32275390625
2373,632.32470703125
2374,634.32470703125
2375,635.32275390625
2376,637.32275390625
2377,638.32470703125
2378,640.32470703125
2379,641.32275390625
2380,643.32275390625
2381,645.32275390625
2382,646.32470703125
2383,648.32470703125
2384,649.32275390625
2385,651.32275390625
2386,652.32470703125
2387,654.32470703125
2388,656.32470703125
2389,657.32275390625
2390,659.32275390625
2391,660.32470703125
2392,662.32470703125
2393,663.32275390625
2394,665.32275390625
2395,667.32275390625
2396,668.32470703125
2397,670.32470703125
2398,671.32275390625
2399,673.32275390625
2400,674.32470703125
2401,676.32470703125
2402,678.32470703125
2403,679.32275390625
2404,681.32275390625
2405,682.32470703125
2406,555.0145797729492
2407,556.0
2408,558.0
2409,560.0
2410,561.001953125
2411,563.001953125
2412,564.0
2413,566.0
2414,567.001953125
2415,569.001953125
2416,570.0
2417,572.0
2418,574.0
2419,575.001953125
2420,577.001953125
2421,578.0
2422,580.0
2423,581.001953125
2424,583.001953125
2425,585.001953125
2426,586.0
2427,588.0
2428,589.001953125
2429,591.0019683837891
2430,592.0
2431,594.0
2432,596.0
2433,597.001953125
2434,599.001953125
2435,600.0
2436,602.0
2437,603.001953125
2438,605.001953125
2439,607.001953125
2440,608.0
2441,610.0
2442,611.001953125
2443,613.001953125
2444,614.0
2445,616.0
2446,618.0
2447,619.001953125
2448,621.001953125
2449,622.0
2450,624.0
2451,625.001953125
2452,627.001953125
2453,628.0
2454,630.0
2455,632.0
2456,633.001953125
2457,635.001953125
2458,636.0
2459,638.0
2460,639.001953125
2461,641.001953125
2462,643.001953125
2463,644.0
2464,646.0
2465,647.001953125
2466,649.0019683837891
2467,650.0
2468,652.0
2469,654.0
2470,655.001953125
2471,657.001953125
2472,658.0
2473,660.0
2474,661.001953125
2475,663.0078277587891
2476,665.001953125
2477,666.0
2478,668.0
2479,669.001953125
2480,671.001953125
2481,672.0
2482,674.0
2483,675.001953125
2484,677.0078277587891
2485,679.001953125
2486,680.0
2487,682.0
2488,683.001953125
2489,685.001953125
2490,686.0
