Total Objects,Time (ms)
2004,6
2005,5
2006,6
2007,5
2008,5
2009,5
2010,8
2011,9
2012,16
2013,9
2014,8
2015,8
2016,5
2017,5
2018,6
2019,6
2020,5
2021,12
2022,5
2023,9
2024,5
2025,8
2026,7
2027,9
2028,6
2029,9
2030,5
2031,12
2032,6
2033,5
2034,5
2035,17
2036,10
2037,5
2038,6
2039,5
2040,10
2041,5
2042,5
2043,5
2044,4
2045,6
2046,5
2047,5
2048,7
2049,5
2050,5
2051,5
2052,5
2053,5
2054,11
2055,13
2056,7
2057,6
2058,6
2059,9
2060,4
2061,9
2062,5
2063,13
2064,5
2065,8
2066,6
2067,9
2068,6
2069,8
2070,6
2071,9
2072,5
2073,10
2074,5
2075,9
2076,6
2077,19
2078,6
2079,6
2080,4
2081,9
2082,6
2083,5
2084,9
2085,5
2086,8
2087,5
2088,8
2089,5
2090,9
2091,6
2092,8
2093,5
2094,8
2095,5
2096,8
2097,6
2098,10
2099,5
2100,7
2101,6
2102,7
2103,18
2104,7
2105,8
2106,4
2107,11
2108,5
2109,7
2110,5
2111,5
2112,6
2113,5
2114,8
2115,6
2116,5
2117,7
2118,12
2119,5
2120,5
2121,5
2122,10
2123,5
2124,10
2125,18
2126,7
2127,7
2128,14
2129,14
2130,11
2131,9
2132,8
2133,6
2134,7
2135,13
2136,16
2137,6
2138,8
2139,6
2140,8
2141,5
2142,10
2143,4
2144,10
2145,6
2146,6
2147,6
2148,10
2149,6
2150,6
2151,6
2152,9
2153,6
2154,6
2155,5
2156,6
2157,5
2158,9
2159,5
2160,9
2161,5
2162,8
2163,5
2164,8
2165,6
2166,8
2167,7
2168,6
2169,8
2170,5
2171,9
2172,5
2173,8
2174,6
2175,9
2176,7
2177,8
2178,5
2179,11
2180,5
2181,9
2182,5
2183,5
2184,5
2185,5
2186,5
2187,6
2188,7
2189,7
2190,7
2191,6
2192,6
2193,6
2194,6
2195,6
2196,5
2197,5
2198,5
2199,6
2200,6
2201,6
2202,6
2203,6
2204,15
2205,9
2206,6
2207,6
2208,5
2209,6
2210,5
2211,5
2212,5
2213,5
2214,5
2215,5
2216,21
2217,8
2218,4
2219,10
2220,5
2221,8
2222,5
2223,10
2224,6
2225,9
2226,5
2227,8
2228,6
2229,7
2230,6
2231,7
2232,6
2233,9
2234,5
2235,10
2236,5
2237,7
2238,5
2239,7
2240,6
2241,10
2242,5
2243,8
2244,6
2245,8
2246,5
2247,7
2248,5
2249,7
2250,6
2251,8
2252,4
2253,8
2254,5
2255,8
2256,4
2257,11
2258,5
2259,9
2260,5
2261,6
2262,5
2263,8
2264,5
2265,8
2266,14
2267,5
2268,6
2269,8
2270,5
2271,5
2272,5
2273,8
2274,5
2275,8
2276,5
2277,6
2278,9
2279,5
2280,9
2281,4
2282,5
2283,5
2284,5
2285,5
2286,5
2287,6
2288,4
2289,6
2290,4
2291,5
2292,5
2293,5
2294,5
2295,5
2296,6
2297,4
2298,5
2299,6
2300,5
2301,5
2302,5
2303,5
2304,5
2305,4
2306,6
2307,5
2308,5
2309,5
2310,5
2311,4
2312,5
2313,5
2314,24
2315,8
2316,4
2317,7
2318,5
2319,10
2320,6
2321,10
2322,5
2323,7
2324,6
2325,9
2326,6
2327,5
2328,4
2329,8
2330,10
2331,9
2332,5
2333,6
2334,5
2335,7
2336,5
2337,8
2338,6
2339,9
2340,5
2341,8
2342,5
2343,8
2344,8
2345,9
2346,8
2347,9
2348,5
2349,7
2350,5
2351,8
2352,5
2353,8
2354,6
2355,6
2356,8
2357,6
2358,6
2359,7
2360,7
2361,5
2362,11
2363,7
2364,13
2365,6
2366,5
2367,7
2368,7
2369,14
2370,14
2371,8
2372,8
2373,8
2374,4
2375,7
2376,6
2377,6
2378,7
2379,5
2380,8
2381,5
2382,8
2383,5
2384,9
2385,5
2386,12
2387,5
2388,8
2389,5
2390,7
2391,5
2392,6
2393,5
2394,8
2395,5
2396,8
2397,5
2398,9
2399,6
2400,9
2401,8
2402,7
2403,7
2404,14
2405,5
2406,28
2407,5
2408,7
2409,6
2410,8
2411,5
2412,9
2413,5
2414,6
2415,5
2416,8
2417,5
2418,8
2419,6
2420,9
2421,4
2422,8
2423,5
2424,7
2425,5
2426,8
2427,5
2428,7
2429,5
2430,11
2431,6
2432,9
2433,7
2434,5
2435,5
2436,9
2437,5
2438,7
2439,8
2440,5
2441,9
2442,6
2443,8
2444,6
2445,8
2446,5
2447,13
2448,5
2449,9
2450,4
2451,8
2452,5
2453,5
2454,5
2455,5
2456,5
2457,5
2458,7
2459,5
2460,8
2461,5
2462,5
2463,5
2464,6
2465,5
2466,6
2467,7
2468,6
2469,5
2470,5
2471,6
2472,6
2473,4
2474,5
2475,4
2476,7
2477,6
2478,9
2479,5
2480,6
2481,5
2482,5
2483,5
2484,6
2485,7
2486,5
2487,7
2488,5
2489,8
2490,5
2491,7
2492,5
2493,29
2494,5
2495,7
2496,6
2497,7
2498,4
2499,8
2500,6
2501,8
2502,5
2503,7
2504,5
2505,7
2506,5
2507,9
2508,5
2509,8
2510,5
2511,6
2512,5
2513,7
2514,5
2515,9
2516,5
2517,9
2518,6
2519,9
2520,6
2521,7
2522,5
2523,10
2524,5
2525,6
2526,7
2527,5
2528,5
2529,6
2530,11
2531,6
2532,7
2533,6
2534,6
2535,6
2536,4
2537,5
2538,5
2539,8
2540,5
2541,9
2542,5
2543,8
2544,6
2545,7
2546,5
2547,6
2548,5
2549,8
2550,5
2551,7
2552,5
2553,8
2554,5
2555,8
2556,5
2557,9
2558,6
2559,12
2560,7
2561,9
2562,5
2563,9
2564,5
2565,8
2566,5
2567,10
2568,6
2569,7
2570,5
2571,8
2572,6
2573,8
2574,5
2575,8
2576,5
2577,9
2578,6
2579,9
2580,5
2581,6
2582,5
2583,8
2584,6
2585,10
2586,6
2587,7
2588,5
2589,6
2590,5
2591,8
2592,6
2593,6
2594,5
2595,7
2596,4
2597,8
2598,5
2599,9
2600,5
2601,12
2602,5
2603,5
2604,7
2605,5
2606,5
2607,5
2608,8
2609,5
2610,8
2611,5
2612,8
2613,5
2614,7
