Total Objects,Time (ms)
1004,6
1005,10
1006,6
1007,12
1008,6
1009,8
1010,8
1011,9
1012,7
1013,11
1014,7
1015,11
1016,7
1017,11
1018,7
1019,11
1020,9
1021,9
1022,7
1023,8
1024,7
1025,6
1026,7
1027,7
1028,7
1029,7
1030,7
1031,6
1032,10
1033,6
1034,9
1035,10
1036,6
1037,9
1038,8
1039,10
1040,6
1041,10
1042,9
1043,8
1044,10
1045,15
1046,6
1047,8
1048,6
1049,6
1050,6
1051,7
1052,6
1053,7
1054,6
1055,7
1056,8
1057,6
1058,5
1059,6
1060,6
1061,13
1062,7
1063,9
1064,6
1065,8
1066,7
1067,6
1068,6
1069,7
1070,6
1071,6
1072,8
1073,10
1074,5
1075,11
1076,7
1077,10
1078,10
1079,14
1080,12
1081,18
1082,8
1083,5
1084,11
1085,10
1086,7
1087,12
1088,11
1089,7
1090,13
1091,20
1092,9
1093,6
1094,12
1095,10
1096,7
1097,9
1098,9
1099,12
1100,11
1101,11
1102,10
1103,7
1104,11
1105,7
1106,7
1107,7
1108,9
1109,15
1110,9
1111,12
1112,11
1113,12
1114,20
1115,17
1116,18
1117,25
1118,14
1119,18
1120,11
1121,13
1122,7
1123,11
1124,12
1125,10
1126,12
1127,10
1128,6
1129,11
1130,11
1131,9
1132,7
1133,11
1134,12
1135,7
1136,9
1137,10
1138,10
1139,8
1140,6
1141,10
1142,11
1143,10
1144,9
1145,7
1146,11
1147,14
1148,10
1149,7
1150,12
1151,7
1152,8
1153,6
1154,9
1155,11
1156,9
1157,15
1158,14
1159,8
1160,21
1161,10
1162,14
1163,12
1164,8
1165,15
1166,6
1167,6
1168,12
1169,6
1170,8
1171,7
1172,7
1173,7
1174,7
1175,8
1176,6
1177,6
1178,10
1179,7
1180,9
1181,7
1182,10
1183,7
1184,16
1185,7
1186,8
1187,6
1188,9
1189,5
1190,10
1191,7
1192,11
1193,6
1194,9
1195,8
1196,9
1197,6
1198,9
1199,6
1200,9
1201,6
1202,9
1203,7
1204,9
1205,7
1206,9
1207,6
1208,9
1209,6
1210,9
1211,6
1212,16
1213,6
1214,10
1215,6
1216,10
1217,6
1218,12
1219,19
1220,25
1221,12
1222,12
1223,8
1224,7
1225,21
1226,11
1227,8
1228,11
1229,8
1230,13
1231,6
1232,8
1233,10
1234,6
1235,9
1236,6
1237,6
1238,11
1239,8
1240,9
1241,8
1242,9
1243,12
1244,8
1245,12
1246,7
1247,14
1248,6
1249,7
1250,7
1251,10
1252,7
1253,16
1254,11
1255,12
1256,6
1257,16
1258,18
1259,15
1260,6
1261,15
1262,11
1263,6
1264,6
1265,7
1266,7
1267,9
1268,6
1269,11
1270,5
1271,6
1272,7
1273,6
1274,9
1275,6
1276,6
1277,6
1278,13
1279,6
1280,9
1281,10
1282,6
1283,10
1284,8
1285,6
1286,9
1287,7
1288,10
1289,9
1290,7
1291,9
1292,7
1293,10
1294,7
1295,9
1296,6
1297,9
1298,7
1299,11
1300,6
1301,7
1302,11
1303,6
1304,9
1305,6
1306,6
1307,9
1308,10
1309,12
1310,16
1311,7
1312,17
1313,25
1314,9
1315,7
1316,26
1317,23
1318,11
1319,15
1320,10
1321,12
1322,8
1323,13
1324,13
1325,13
1326,14
1327,11
1328,9
1329,8
1330,8
1331,8
1332,17
1333,12
1334,19
1335,10
1336,9
1337,7
1338,9
1339,10
1340,20
1341,9
1342,7
1343,14
1344,9
1345,9
1346,8
1347,8
1348,11
1349,7
1350,11
1351,12
1352,14
1353,8
1354,25
1355,12
1356,8
1357,15
1358,9
1359,17
1360,10
1361,9
1362,11
1363,24
1364,7
1365,7
1366,13
1367,20
1368,9
1369,19
1370,10
1371,9
1372,9
1373,17
1374,8
1375,9
1376,9
1377,20
1378,8
1379,9
1380,11
1381,19
1382,9
1383,9
1384,8
1385,14
1386,10
1387,10
1388,25
1389,10
1390,12
1391,9
1392,8
1393,11
1394,7
1395,8
1396,11
1397,5
1398,9
1399,6
1400,9
1401,6
1402,11
1403,6
1404,13
1405,7
1406,12
1407,9
1408,13
1409,15
1410,6
1411,11
1412,7
1413,7
1414,11
1415,6
1416,10
1417,7
1418,7
1419,10
1420,8
1421,9
1422,15
1423,13
1424,7
1425,12
1426,13
1427,12
1428,15
1429,9
1430,8
1431,15
1432,9
1433,12
1434,11
1435,17
1436,11
1437,12
1438,11
1439,10
1440,12
1441,30
1442,11
1443,7
1444,7
1445,12
1446,10
1447,20
1448,10
1449,11
1450,12
1451,11
1452,13
1453,18
1454,20
1455,12
1456,9
1457,14
1458,7
1459,11
1460,7
1461,11
1462,6
1463,15
1464,7
1465,11
1466,6
1467,7
1468,11
1469,6
1470,11
1471,7
1472,6
1473,10
1474,6
1475,10
1476,7
1477,7
1478,10
1479,6
1480,16
1481,10
1482,7
1483,6
1484,6
1485,7
1486,7
1487,6
1488,7
1489,20
1490,6
1491,7
1492,8
1493,10
1494,11
1495,15
1496,6
1497,12
1498,7
1499,9
1500,13
1501,7
1502,6
1503,10
1504,10
1505,10
1506,10
1507,7
1508,6
1509,10
1510,6
1511,7
1512,6
1513,7
1514,8
1515,6
1516,11
1517,7
1518,11
1519,7
1520,11
1521,6
1522,10
1523,6
1524,10
1525,6
1526,11
1527,7
1528,10
1529,8
1530,11
1531,6
1532,12
1533,6
1534,10
1535,7
1536,6
1537,9
1538,7
1539,7
1540,9
1541,8
1542,11
1543,19
1544,18
1545,7
1546,6
1547,7
1548,9
1549,15
1550,14
1551,9
1552,7
1553,6
1554,9
1555,10
1556,10
1557,17
1558,7
1559,10
1560,6
1561,12
1562,6
1563,12
1564,7
1565,13
1566,7
1567,11
1568,8
1569,9
1570,7
1571,8
1572,7
1573,11
1574,7
1575,12
1576,7
1577,6
1578,7
1579,6
1580,7
1581,7
1582,7
1583,6
1584,6
1585,6
1586,6
1587,6
1588,9
1589,7
1590,6
1591,7
1592,7
1593,6
1594,5
1595,7
1596,7
1597,5
1598,6
1599,6
1600,11
1601,8
1602,18
1603,8
1604,6
1605,7
1606,10
1607,8
1608,12
1609,7
1610,7
1611,6
1612,7
1613,6
1614,9
1615,5
1616,12
1617,7
1618,11
1619,5
1620,8
1621,6
1622,7
1623,7
1624,7
1625,9
1626,6
1627,6
1628,7
1629,10
1630,6
1631,18
1632,13
1633,6
1634,6
1635,7
1636,7
1637,6
1638,6
1639,5
1640,6
1641,7
1642,6
1643,8
1644,9
1645,7
1646,12
1647,7
1648,6
1649,6
1650,7
1651,9
1652,6
1653,7
1654,6
1655,6
1656,6
1657,6
1658,6
1659,6
1660,6
1661,7
1662,10
1663,7
1664,9
1665,12
1666,6
1667,9
1668,7
1669,6
1670,7
1671,7
1672,8
1673,6
1674,6
1675,7
1676,9
1677,6
1678,10
1679,7
1680,14
1681,11
1682,7
1683,10
1684,7
1685,6
1686,10
1687,8
1688,10
1689,7
1690,6
1691,10
1692,7
1693,14
1694,6
1695,6
1696,11
1697,6
1698,10
1699,7
1700,11
1701,7
1702,10
1703,5
1704,9
1705,6
1706,9
1707,5
1708,11
1709,7
1710,9
1711,6
1712,10
1713,7
1714,11
1715,6
1716,6
1717,11
1718,6
1719,10
1720,8
1721,9
1722,21
1723,7
1724,17
1725,7
1726,20
1727,8
1728,12
1729,8
1730,7
1731,9
1732,6
1733,6
1734,14
1735,10
1736,6
1737,7
1738,7
1739,7
1740,6
1741,7
1742,6
1743,6
1744,6
1745,7
1746,6
1747,7
1748,6
1749,6
1750,6
1751,11
1752,8
1753,6
1754,9
1755,6
1756,11
1757,6
1758,10
1759,6
1760,11
1761,7
1762,11
1763,6
1764,12
1765,6
1766,10
1767,7
1768,9
1769,6
1770,12
1771,7
1772,10
1773,9
1774,10
1775,7
1776,7
1777,7
1778,9
1779,10
1780,11
1781,9
1782,6
1783,7
1784,18
1785,13
1786,8
1787,10
1788,11
1789,6
1790,10
1791,14
1792,7
1793,11
1794,7
1795,10
1796,12
1797,13
1798,10
1799,12
1800,15
1801,15
1802,13
1803,7
1804,7
1805,9
1806,6
1807,11
1808,7
1809,8
1810,8
1811,10
1812,6
1813,8
1814,6
1815,6
1816,6
1817,7
1818,7
1819,7
1820,7
1821,6
1822,7
1823,6
1824,7
1825,8
1826,5
1827,6
1828,7
1829,9
1830,6
1831,10
1832,10
1833,6
1834,9
1835,6
1836,13
1837,12
1838,6
1839,9
1840,7
1841,13
1842,6
1843,7
1844,8
1845,7
1846,6
1847,5
1848,7
1849,7
1850,7
1851,6
1852,6
1853,7
1854,6
1855,7
1856,9
1857,7
1858,6
1859,6
1860,6
1861,6
1862,7
1863,8
1864,8
1865,6
1866,8
1867,12
1868,10
1869,8
1870,10
1871,7
1872,8
1873,16
1874,7
1875,7
1876,10
1877,7
1878,6
1879,6
1880,9
1881,6
1882,9
1883,7
1884,11
1885,7
1886,6
1887,8
1888,6
1889,6
1890,6
1891,6
1892,6
1893,6
1894,7
1895,6
1896,5
1897,6
1898,6
1899,6
1900,7
1901,7
1902,6
1903,14
1904,7
1905,7
1906,6
1907,6
1908,7
1909,6
1910,6
1911,11
1912,6
1913,14
1914,11
1915,6
1916,12
1917,7
1918,6
1919,7
1920,9
1921,15
1922,8
1923,11
1924,8
1925,7
1926,10
1927,6
1928,11
1929,6
1930,6
1931,9
1932,6
1933,9
1934,7
1935,11
1936,8
1937,12
1938,7
1939,7
1940,9
1941,7
1942,7
1943,6
1944,13
1945,7
1946,14
1947,6
1948,6
1949,10
1950,6
1951,12
1952,7
1953,6
1954,11
1955,7
1956,11
1957,6
1958,6
1959,7
1960,6
1961,7
1962,7
1963,9
1964,6
1965,7
1966,8
1967,27
1968,8
1969,6
1970,9
1971,6
1972,10
1973,6
1974,9
1975,6
1976,10
1977,6
1978,10
1979,9
1980,6
1981,10
1982,6
1983,11
1984,6
1985,11
1986,7
1987,7
1988,9
1989,7
1990,9
1991,5
1992,7
1993,11
1994,6
1995,11
1996,7
1997,7
1998,10
1999,6
2000,12
2001,6
2002,7
2003,8
