Total Objects,Time (ms)
4,24
5,25
6,18
7,18
8,27
9,15
10,36
11,17
12,26
13,25
14,26
15,21
16,38
17,19
18,13
19,17
20,18
21,43
22,33
23,66
24,29
25,20
26,13
27,18
28,23
29,14
30,12
31,13
32,14
33,12
34,16
35,15
36,13
37,19
38,11
39,11
40,19
41,12
42,17
43,14
44,11
45,24
46,13
47,13
48,11
49,18
50,11
51,11
52,12
53,10
54,17
55,10
56,17
57,23
58,10
59,11
60,10
61,9
62,15
63,9
64,16
65,12
66,10
67,26
68,10
69,11
70,10
71,11
72,16
73,9
74,10
75,18
76,10
77,9
78,16
79,9
80,14
81,21
82,11
83,11
84,16
85,10
86,13
87,17
88,9
89,9
90,21
91,13
92,9
93,15
94,10
95,17
96,11
97,13
98,10
99,19
100,10
101,10
102,9
103,18
104,10
105,13
106,12
107,10
108,15
109,9
110,16
111,9
112,9
113,17
114,9
115,13
116,10
117,10
118,15
119,12
120,12
121,10
122,14
123,8
124,14
125,9
126,10
127,12
128,8
129,9
130,15
131,9
132,15
133,11
134,8
135,15
136,14
137,9
138,13
139,8
140,9
141,14
142,10
143,9
144,9
145,10
146,18
147,10
148,10
149,8
150,9
151,19
152,10
153,11
154,15
155,8
156,15
157,15
158,11
159,9
160,9
161,16
162,8
163,14
164,9
165,9
166,10
167,8
168,11
169,8
170,20
171,8
172,10
173,8
174,10
175,10
176,13
177,10
178,12
179,8
180,8
181,14
182,8
183,16
184,8
185,10
186,14
187,8
188,8
189,8
190,10
191,16
192,8
193,8
194,15
195,28
196,9
197,8
198,17
199,8
200,8
201,7
202,11
203,8
204,8
205,14
206,9
207,9
208,7
209,8
210,12
211,9
212,14
213,8
214,8
215,13
216,8
217,23
218,18
219,9
220,19
221,12
222,14
223,8
224,9
225,15
226,12
227,15
228,8
229,8
230,12
231,9
232,12
233,11
234,10
235,20
236,8
237,11
238,10
239,8
240,16
241,9
242,9
243,22
244,13
245,11
246,13
247,20
248,12
249,8
250,9
251,16
252,13
253,9
254,16
255,11
256,10
257,11
258,9
259,14
260,10
261,19
262,18
263,11
264,8
265,11
266,8
267,9
268,18
269,12
270,9
271,17
272,8
273,8
274,8
275,11
276,7
277,11
278,8
279,9
280,23
281,11
282,13
283,16
284,16
285,8
286,10
287,11
288,12
289,10
290,9
291,8
292,15
293,9
294,12
295,8
296,8
297,7
298,18
299,8
300,12
301,14
302,9
303,13
304,7
305,13
306,9
307,8
308,20
309,12
310,9
311,17
312,9
313,16
314,8
315,8
316,15
317,9
318,7
319,19
320,9
321,7
322,7
323,9
324,23
325,14
326,8
327,12
328,7
329,14
330,7
331,19
332,13
333,7
334,9
335,8
336,9
337,17
338,8
339,13
340,7
341,13
342,11
343,7
344,10
345,11
346,10
347,8
348,15
349,17
350,8
351,10
352,8
353,11
354,9
355,8
356,14
357,8
358,13
359,9
360,11
361,11
362,9
363,11
364,8
365,14
366,7
367,7
368,10
369,10
370,14
371,14
372,9
373,11
374,9
375,7
376,8
377,9
378,8
379,7
380,10
381,7
382,11
383,7
384,7
385,12
386,8
387,12
388,7
389,7
390,10
391,7
392,11
393,8
394,17
395,13
396,7
397,13
398,9
399,9
400,13
401,7
402,12
403,7
404,8
405,16
406,6
407,9
408,19
409,8
410,12
411,10
412,8
413,13
414,9
415,14
416,10
417,7
418,7
419,15
420,15
421,7
422,13
423,8
424,12
425,12
426,9
427,7
428,11
429,7
430,18
431,13
432,9
433,8
434,8
435,8
436,16
437,8
438,12
439,14
440,8
441,16
442,7
443,9
444,8
445,6
446,11
447,9
448,12
449,12
450,7
451,8
452,9
453,12
454,9
455,13
456,12
457,8
458,13
459,7
460,8
461,9
462,11
463,16
464,7
465,7
